AOU,four-letter code,common_name,Band_Size
10,WEGR,WESTERN GREBE,7A 7B
11,CLGR,CLARKS GREBE,7A 7B
12,WCGR,WESTERN CLARKS GREBE,7A 7B
20,RNGR,RED-NECKED GREBE,7A
30,HOGR,HORNED GREBE,6 5
40,EAGR,EARED GREBE,5
50,LEGR,LEAST GREBE,4
60,PBGR,PIED-BILLED GREBE,5 6
70,COLO,COMMON LOON,8 9
80,YBLO,YELLOW-BILLED LOON,9
90,ARLO,ARCTIC LOON,7B
100,PALO,PACIFIC LOON,7B
110,RTLO,RED-THROATED LOON,7B
120,TUPU,TUFTED PUFFIN,6 5
130,ATPU,ATLANTIC PUFFIN,5
140,HOPU,HORNED PUFFIN,5
150,RHAU,RHINOCEROS AUKLET,5 6
160,CAAU,CASSINS AUKLET,3B 3A
170,PAAU,PARAKEET AUKLET,4
180,CRAU,CRESTED AUKLET,4
190,WHAU,WHISKERED AUKLET,3
200,LEAU,LEAST AUKLET,2 3
210,ANMU,ANCIENT MURRELET,3B 3
230,MAMU,MARBLED MURRELET,3B 3
231,LBMU,LONG-BILLED MURRELET,3B 3
240,KIMU,KITTLITZS MURRELET,3B
250,XAMU,XANTUSS MURRELET,2
260,CRMU,CRAVERIS MURRELET,2
270,BLGU,BLACK GUILLEMOT,4
290,PIGU,PIGEON GUILLEMOT,4A
300,COMU,COMMON MURRE,6M
310,TBMU,THICK-BILLED MURRE,6M 5R
320,RAZO,RAZORBILL,5R
340,DOVE,DOVEKIE,3
350,GRSK,GREAT SKUA,7A 7B
352,SPSK,SOUTH POLAR SKUA,7A 7B
360,POJA,POMARINE JAEGER,5
370,PAJA,PARASITIC JAEGER,4A
380,LTJA,LONG-TAILED JAEGER,4A 4
390,IVGU,IVORY GULL,4
391,MAGU,MAGELLAN GULL,5
400,BLKI,BLACK-LEGGED KITTIWAKE,4A
410,RLKI,RED-LEGGED KITTIWAKE,4A
420,GLGU,GLAUCOUS GULL,7A (r)
430,ICGU,ICELAND GULL,6
431,THGU,THAYERS GULL,6
440,GWGU,GLAUCOUS-WINGED GULL,7A
446,HYGU,HYBRID GULL,6
470,GBBG,GREAT BLACK-BACKED GULL,7B 7A
480,SBGU,SLATY-BACKED GULL,7A
490,WEGU,WESTERN GULL,6
491,YFGU,YELLOW-FOOTED GULL,6
500,LBBG,LESSER BLACK-BACKED GULL,6
510,HERG,HERRING GULL,6
530,CAGU,CALIFORNIA GULL,5
534,UNGU,UNIDENTIFIED GULL,5
540,RBGU,RING-BILLED GULL,4A
542,BTGU,BAND-TAILED GULL,5
550,MEGU,MEW GULL,4A
551,BHGU,BLACK-HEADED GULL,5
570,HEEG,HEERMANNS GULL,4A
580,LAGU,LAUGHING GULL,4A 4 5 (a)
590,FRGU,FRANKLINS GULL,4
600,BOGU,BONAPARTES GULL,3 3B
601,LIGU,LITTLE GULL,3
610,ROGU,ROSSS GULL,3
620,SAGU,SABINES GULL,3
630,GBTE,GULL-BILLED TERN,3B
640,CATE,CASPIAN TERN,5 4A
650,ROYT,ROYAL TERN,4A
652,CRTE,CRESTED TERN,3 3A
660,ELTE,ELEGANT TERN,3
670,SATE,SANDWICH TERN,3B
671,CAYT,CAYENNE TERN,3B
690,FOTE,FORSTERS TERN,3
700,COTE,COMMON TERN,"2, (z)"
706,HYTE,HYBRID TERN,"2, (v)"
710,ARTE,ARCTIC TERN,2 1A 1D
720,ROST,ROSEATE TERN,"2, (aa)"
725,HCRT,COMMON TERN X ROSEATE TERN HYBRID,"2, (v)"
730,ALTE,ALEUTIAN TERN,2 1A 1D
731,BNTE,BLACK-NAPED TERN,2
740,LETE,LEAST TERN,1A 1B
741,LITE,LITTLE TERN,1A
742,ILTE,INTERIOR LEAST TERN,1A 1B
743,CLTE,CALIFORNIA LEAST TERN,1A 1B
750,SOTE,SOOTY TERN,3
760,BRTE,BRIDLED TERN,"2, (x)"
761,GRAT,GRAY-BACKED TERN,2
770,BLTE,BLACK TERN,2 1A 1D
780,WWTE,WHITE-WINGED TERN,2
781,WHIT,WHISKERED TERN,2
790,BRNO,BROWN NODDY,3
791,BLNO,BLACK NODDY,2 3
792,BGNO,BLUE-GRAY NODDY,2
793,WHTE,WHITE TERN,2
800,BLSK,BLACK SKIMMER,4 3A
810,BFAL,BLACK-FOOTED ALBATROSS,7B
811,WAAL,WANDERING ALBATROSS,8
816,HYAL,HYBRID ALBATROSS,"7B 8, (v)"
820,STAL,SHORT-TAILED ALBATROSS,8
821,LAAL,LAYSAN ALBATROSS,7B
822,BBAL,BLACK-BROWED ALBATROSS,8
823,SHAL,SHY ALBATROSS,8
824,WAVA,WAVED ALBATROSS,8
830,YNAL,YELLOW-NOSED ALBATROSS,8
860,NOFU,NORTHERN FULMAR,6
880,COSH,CORYS SHEARWATER,4
881,STRS,STREAKED SHEARWATER,3B
890,GRSH,GREAT SHEARWATER,6
900,MASH,MANX SHEARWATER,4A 4
910,PFSH,PINK-FOOTED SHEARWATER,4
920,AUSH,AUDUBONS SHEARWATER,3A 3B
921,LISH,LITTLE SHEARWATER,4
930,BVSH,BLACK-VENTED SHEARWATER,4
931,TOSH,TOWNSENDS SHEARWATER,4
932,NESH,NEWELLS SHEARWATER,4
950,SOSH,SOOTY SHEARWATER,4 5
951,FFSH,FLESH-FOOTED SHEARWATER,4
960,SHOS,SHORT-TAILED SHEARWATER,4
961,WTSH,WEDGE-TAILED SHEARWATER,5 4A
962,BULS,BULLERS SHEARWATER,4
963,CHSH,CHRISTMAS SHEARWATER,4A
980,BCPE,BLACK-CAPPED PETREL,3
983,COPE,COOKS PETREL,3
985,HAPE,HAWAIIAN PETREL,4 3A
987,JFPE,JUAN FERNANDEZ PETREL,3
988,PHPE,PHOENIX PETREL,4 3A
990,MOPE,MOTTLED PETREL,3
991,BOPE,BONIN PETREL,3 2
992,BWPE,BLACK-WINGED PETREL,2
1001,MUPE,MURPHYS PETREL,3 3A 3B
1003,STPE,STEJNEGERS PETREL,3
1004,TAPE,TAHITI PETREL,4
1010,BUPE,BULWERS PETREL,2 3
1020,CAPE,CAPE PETREL,4
1030,LTSP,LEAST STORM-PETREL,1B
1050,FTSP,FORK-TAILED STORM-PETREL,1B
1060,LHSP,LEACHS STORM-PETREL,1B
1062,BANP,BAND-RUMPED STORM-PETREL,2
1063,WRSP,WEDGE-RUMPED STORM-PETREL,1B
1070,BLSP,BLACK STORM-PETREL,1A
1071,TRSP,TRISTRAMS STORM-PETREL,2
1080,ASSP,ASHY STORM-PETREL,1B
1090,WISP,WILSONS STORM-PETREL,1A 1B
1101,WHSP,WHITE-THROATED STORM-PETREL,2 3
1110,WFSP,WHITE-FACED STORM-PETREL,3
1120,WTTR,WHITE-TAILED TROPICBIRD,4 3A 3B 3
1130,RBTR,RED-BILLED TROPICBIRD,4A
1131,RTTR,RED-TAILED TROPICBIRD,5
1140,MABO,MASKED BOOBY,7B 8
1141,BFBO,BLUE-FOOTED BOOBY,7A 7B
1142,NABO,NAZCA BOOBY,"7B 8, (y)"
