"Route","Shannon","Lati","Longi"
"1",1,6.04533665071587,41.5501237,-84.3898389
"2",2,6.46337379641619,41.3867557,-84.1216579
"3",3,6.05174111887042,41.6511517,-84.5147859
"4",5,6.48050751217943,41.0376017,-82.9962929
"5",6,6.47122717611427,41.4427171,-83.087075
"6",7,5.57222824332742,41.5380767,-83.2608719
"7",8,6.13135519105927,41.1974257,-83.7075339
"8",11,6.45328256297136,41.2506217,-82.2354939
"9",12,4.96779877827433,41.1694157,-82.6455149
"10",13,6.07243148247711,41.1648877,-82.7867429
"11",15,6.27649879724686,41.1788496,-81.002582
"12",16,6.12386283167087,41.2820227,-81.1002789
"13",17,7.06048294765828,41.4687714,-81.0750897
"14",18,6.40434860595842,41.3154557,-81.8352349
"15",21,7.19189361918585,41.6803821,-80.7420743
"16",22,6.73458924327188,41.3710349,-80.9900079
"17",24,5.52359043845254,40.4824537,-84.1838359
"18",25,6.20264623610444,40.9809757,-84.1972889
"19",26,5.31316082411367,40.0762987,-84.1745919
"20",27,5.86962526793377,40.2671711,-84.7793129
"21",31,5.81072852820802,40.1540697,-83.7262559
"22",32,6.38034950922958,40.6744266,-83.6735259
"23",33,6.63035629465932,40.7097397,-83.5725179
"24",34,6.44571963347843,40.5642137,-83.0386289
"25",35,6.13412005666392,40.246894,-83.2978987
"26",39,6.27282230287295,40.4606653,-82.6249903
"27",40,6.21042234299343,40.8786396,-82.1083506
"28",41,5.38489557047174,40.0798127,-82.9285889
"29",42,6.42369877241944,40.4600977,-82.7639629
"30",43,7.07406867830283,39.9930387,-82.0294509
"31",46,6.01612093493604,40.6059796,-81.1683844
"32",47,5.46189623748131,40.6455357,-81.8418429
"33",48,6.35301292042989,40.2459467,-81.5000079
"34",49,7.38366129884971,40.1062833,-81.8999167
"35",50,5.27253446609746,40.1033447,-81.4172439
"36",51,6.05428077245313,40.0700447,-81.8823399
"37",56,6.87341695506687,40.2788528,-80.7678799
"38",57,5.92728344629835,40.9301837,-80.9062269
"39",58,6.22647633712486,39.6578707,-84.3980039
"40",59,5.60941802559996,39.2921467,-84.6179359
"41",60,6.49760213240592,39.493375,-84.6652972
"42",61,6.22084072796468,39.4892987,-84.0114069
"43",64,6.1333328723036,39.3611652,-83.8637013
"44",65,5.9173327024376,39.4776857,-83.8167579
"45",66,5.81719477529297,39.8497537,-83.4663239
"46",67,6.16811596846098,39.6821707,-83.8036269
"47",68,4.48682800204448,39.8925897,-83.9067219
"48",72,6.60721346574154,39.1991097,-82.6751939
"49",73,7.30164294326412,39.3166637,-82.1680389
"50",74,7.10963105222515,39.1527143,-82.9107789
"51",75,6.80862612227155,39.9655986,-82.5305735
"52",76,7.40814885033947,39.2309737,-82.2853793
"53",80,6.25590619806436,39.4158977,-81.3554829
"54",81,6.42796460521912,39.5671857,-81.5807429
"55",82,7.32841673339321,39.2701767,-81.8827139
"56",83,6.73921804891704,39.8938347,-81.6718899
"57",85,6.2729633085145,38.9081057,-83.7588579
"58",86,7.36192933799247,38.6696358,-83.4163514
"59",87,6.34062590778366,38.8817267,-82.7884369
"60",88,6.39807744565032,38.6500007,-82.4223789
"61",107,6.18986496256759,41.5440972,-83.4580032
"62",112,6.49050500130189,41.1609237,-82.6332099
"63",113,5.56056137770755,41.4083645,-82.8822098
"64",116,6.10419048958861,41.3256857,-81.0505989
"65",118,5.72046214472392,41.2747817,-81.956725
"66",126,4.90825297619355,40.0778757,-84.1360999
"67",141,6.38112577073149,40.0945941,-82.8994756
"68",148,6.01815349370083,40.3076787,-81.5841149
"69",150,6.31787887870745,40.1037173,-81.4172305
"70",151,4.00748347052908,40.0700447,-81.8823399
"71",157,5.93673746584337,40.9118093,-80.5379536
"72",159,5.73959754788389,39.6680438,-84.2514604
"73",161,5.99069464660456,39.4989563,-84.0134234
"74",165,5.72522912281099,39.5569036,-83.8484908
"75",166,5.86912767421102,39.8496832,-83.4658472
"76",168,6.50049752654475,39.8881087,-83.9166709
"77",181,6.48283053322587,39.5671857,-81.5807429
"78",188,6.06349132764467,38.6295227,-82.4578029
"79",251,6.42895388019224,40.2967664,-81.8718895
"80",901,6.16885011615775,38.6865963,-82.6150863
"81",902,5.47811692280746,38.6574767,-83.1875069
"82",903,6.01482286476059,39.3200896,-82.2847853
"83",904,6.60532753767708,39.3754092,-82.7626109
"84",905,6.25330417071944,39.1798097,-82.9220429
"85",906,6.39816961937145,39.4318937,-81.8838039
"86",907,5.94482329019053,39.2280901,-83.2106382
"87",908,6.53483526625702,40.6382548,-82.3344147
"88",952,5.93294725419549,38.649962,-83.1869915
