4-letter code,Scientific name,6-letter code,habitat,diet,nesting,behavior,Conservation,common name,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
DEJU,Junco hyemalis,JUNHYE,forest,seeds,ground,ground_forager,LC,(Slate-colored Junco) Dark-eyed Junco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
NOFL,Colaptes auratus,COLAUT,open_woodland,insects,cavity,ground_forager,LC,(Yellow-shafted Flicker) Northern Flicker,186,178,171,196,176,184,185,217,151,172,168,132,144,139,160,155,91,119,98,93,104,68,132,146,138,144,216,185,153,183,151,134,160,185,166,174,121,170,119,142,129,130,81,139,137,123,160,175
ACFL,Empidonax virescens,EMPVIR,forest,insects,tree,fly_catching,LC,Acadian Flycatcher,60,62,53,50,54,51,54,90,66,74,84,81,80,92,89,109,78,94,76,64,57,55,161,112,96,132,339,404,384,363,360,350,366,304,283,309,198,295,234,265,240,239,203,230,218,253,245,251
ALFL  ,Empidonax alnorum,EMPALN,scrub,insects,shrub,fly_catching,LC,Alder Flycatcher,0,0,0,0,0,0,0,5,2,8,3,3,2,0,0,1,0,0,0,3,0,2,4,2,0,0,5,3,1,2,1,4,2,1,1,2,0,2,0,0,0,2,0,1,1,0,0,1
AMBI,Botaurus lentiginosus,BOTLEN ,marsh,fish,ground,stalking,LC,American Bittern,0,0,1,1,2,3,3,2,2,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABDU ,Anas rubripes,ANARUB,lake_pond,insects,ground,dabbler,LC,American Black Duck,1,0,0,0,2,0,0,1,1,3,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMCO ,Fulica americana,FULAME,lake_pond,plants,floating,surface_dive,LC,American Coot,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMCR,Corvus brachyrhynchos,CORBRA,open_woodland,omnivore,tree,ground_forager,LC,American Crow,929,1050,788,811,858,834,996,989,811,890,1251,995,1109,994,1036,1061,906,1210,962,976,837,743,1401,1252,1152,1434,2156,2277,2336,2248,2298,2448,2473,1848,2300,2394,1837,1762,1336,1616,1633,1748,1320,1804,1926,1731,2027,1686
AMGO,Spinus tristis,SPITRI ,open_woodland,seeds,shrub,foliage_gleaner,LC,American Goldfinch,529,606,501,584,496,592,582,560,542,458,575,582,275,431,483,536,534,548,557,571,501,643,817,783,681,790,940,1014,1131,1158,960,995,1072,1042,1181,1189,897,1066,873,859,1062,1193,747,989,1116,714,1067,814
AMKE ,Falco sparverius,FALSPA,open_woodland,insects,cavity,soaring,LC,American Kestrel,26,29,21,21,26,25,31,30,46,40,65,59,26,39,41,71,25,64,34,34,33,46,69,55,66,105,85,102,79,75,65,62,61,93,48,53,44,32,28,44,37,38,22,25,36,24,33,34
AMRE,Setophaga ruticilla,SETRUT,forest,insects,tree,foliage_gleaner,LC,American Redstart,10,18,11,10,15,9,13,9,12,4,7,7,7,9,13,13,8,9,11,12,13,7,16,13,18,12,65,115,117,128,135,118,109,89,90,109,86,110,112,115,126,109,91,74,120,92,74,79
AMRO,Turdus migratorius,TURMIG ,open_woodland,insects,tree,ground_forager,LC,American Robin,1772,1628,1446,1543,1548,1873,2176,2135,2193,2039,2216,1925,1981,2326,2692,2518,2662,2941,2694,2553,2333,2082,3253,3081,2948,3487,4199,4630,4478,4930,4727,4141,4283,4183,4193,4348,3697,4402,4124,4085,4313,4208,3454,4200,4638,3813,4370,4467
ATSP ,Spizella arborea,SPIARB,open_woodland,seeds,ground,ground_forager,LC,American Tree Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
AMWI,Anas americana ,ANAAME,lake_pond,plants,ground,dabbler,LC,American Wigeon,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMWO ,Scolopax minor,SCOMIN,forest,insects,ground,probing,LC,American Woodcock,0,1,0,1,0,0,1,0,1,0,0,0,0,3,4,0,0,0,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,2,0,1
BACS *,Peucaea aestivalis,PEUAES,,,,,,Bachman's Sparrow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAEA,Haliaeetus leucocephalus,HALLEU,forest,fish,tree,soaring,LC,Bald Eagle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,2,0,1,2,1,4,3,5,2,5,1,2,3
BAOR,Icterus galbula,ICTGAL,open_woodland,insects,tree,foliage_gleaner,LC,Baltimore Oriole,89,132,78,51,85,118,125,133,116,69,98,71,104,143,128,136,119,128,116,84,86,112,124,139,125,121,150,145,206,251,301,255,197,190,193,239,175,211,158,222,168,184,136,126,125,133,114,116
BANS * ,Riparia riparia,RIPRIP,lake_pond,insects,burrow,aerial_forager,LC,Bank Swallow,10,116,41,103,32,48,33,4,14,25,10,38,14,23,10,13,20,44,17,38,19,79,64,21,76,30,91,120,72,101,95,97,70,51,33,38,23,44,24,54,48,108,68,67,56,70,98,66
BARS *,Hirundo rustica,HIRRUS ,town,insects,building,aerial_forager,LC,Barn Swallow,541,486,453,528,641,610,628,421,549,612,625,773,729,851,775,787,772,763,677,655,559,607,1292,1025,810,1105,1110,1496,1190,935,1235,890,890,1197,1121,1114,707,933,876,940,939,1172,852,1076,1341,923,1547,948
BADO *,Strix varia,STRVAR,forest,mammals,tree,ground_forager,LC,Barred Owl,1,0,2,0,3,3,2,6,2,1,4,2,0,0,1,1,2,2,3,0,0,1,4,0,0,0,1,8,2,1,0,0,0,4,1,2,1,3,0,2,3,0,1,3,1,2,2,5
BEVI ,Vireo bellii,VIRBEL,scrub,insects,shrub,foliage_gleaner,NT,Bell's Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEFL,Megaceryle alcyon,XENCAL,lake_pond,fish,burrow,aerial_dive,LC,Belted Kingfisher,10,14,8,11,8,12,8,15,21,13,21,7,5,11,14,10,13,11,13,14,11,12,11,17,7,11,28,19,15,24,18,20,17,20,14,21,10,15,7,11,12,8,8,14,10,3,19,30
BEWR,Thryomanes bewickii,THRBEW,open_woodland,insects,cavity,foliage_gleaner,LC,Bewick's Wren,1,2,5,2,1,0,6,5,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLTE ,Chlidonias niger,CHLNIG,marsh,insects,floating,aerial_dive,LC,Black Tern,13,2,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLVU,Coragyps atratus,CORATR,open_woodland,carrion,cliff,soaring,LC,Black Vulture,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,2,2,3,4,0,2,3,5,8,3,1,2,4,0,2,5,2,5,2
BAWW,Mniotilta varia,MNIVAR,forest,insects,ground,bark_forager,LC,Black-and-white Warbler,6,2,0,0,1,0,0,4,2,0,1,0,1,0,1,4,2,2,1,0,0,0,2,1,1,3,28,40,44,57,18,32,30,11,19,18,23,21,28,30,28,33,17,19,21,26,17,18
BBCU ,Coccyzus erythropthalmus,COCERY,forest,insects,tree,foliage_gleaner,LC,Black-billed Cuckoo,6,14,9,11,30,14,14,13,31,16,22,10,47,52,18,37,38,14,10,4,7,13,7,6,4,19,16,13,9,44,28,19,7,27,26,11,32,18,28,25,4,11,11,14,21,12,8,4
BCCH,Poecile atricapillus ,POEATR,forest,insects,cavity,foliage_gleaner,LC,Black-capped Chickadee,7,30,8,12,13,12,20,13,20,14,18,16,14,29,19,33,35,31,34,43,47,39,48,61,56,48,56,62,51,78,55,72,94,58,49,78,36,38,35,37,33,59,36,55,72,70,59,55
