     GEOID YEAR    diet abundance density_high  func.group
2    39001 1997 insects        28 0.0304863950 insectivore
4    39001 1998 insects        29 0.0608015182 insectivore
7    39001 1999 insects        28 0.0739894531 insectivore
10   39001 2000 insects        54 0.0488124864 insectivore
13   39001 2001 insects        57 0.0354532796 insectivore
17   39001 2002 insects        42 0.0160995569 insectivore
20   39001 2003 insects        32 0.0357958234 insectivore
22   39001 2005 insects        34 0.1250284740 insectivore
24   39001 2006 insects        29 0.1488352656 insectivore
29   39001 2007 insects        24 0.1683602601 insectivore
30   39001 2008 insects        39 0.1685315320 insectivore
34   39001 2009 insects        37 0.5701640956 insectivore
35   39005 1997 insects        14 0.0049651259 insectivore
37   39005 1998 insects         9 0.0007093037 insectivore
40   39005 1999 insects         3 0.0061472987 insectivore
41   39005 2000 insects        26 0.0621822911 insectivore
43   39005 2001 insects        10 0.0130039012 insectivore
44   39005 2002 insects         8 0.0423217874 insectivore
45   39005 2003 insects         7 0.0092209481 insectivore
47   39005 2004 insects         5 0.2643338456 insectivore
48   39005 2005 insects         5 0.5151909209 insectivore
50   39005 2006 insects         2 0.3454309020 insectivore
51   39005 2007 insects         5 0.3248610947 insectivore
53   39005 2008 insects         4 0.7270362927 insectivore
54   39005 2009 insects         2 1.4022934153 insectivore
58   39007 1997 insects       272 0.0031342112 insectivore
60   39007 1998 insects       189 0.0009972490 insectivore
64   39007 1999 insects       206 0.0015671056 insectivore
70   39007 2000 insects       220 0.0101149543 insectivore
73   39007 2001 insects       168 0.0128217731 insectivore
80   39007 2002 insects       207 0.0086903129 insectivore
82   39007 2003 insects       264 0.0079779921 insectivore
88   39007 2004 insects       194 0.1138288521 insectivore
91   39007 2005 insects       171 0.1059933241 insectivore
93   39007 2006 insects       170 0.1681076915 insectivore
95   39007 2007 insects       148 0.1916142755 insectivore
99   39007 2008 insects       193 0.3048732710 insectivore
102  39007 2009 insects       193 0.5101641044 insectivore
105  39009 1997 insects        68 0.0031771373 insectivore
110  39009 1998 insects        78 0.0019857108 insectivore
111  39009 1999 insects        94 0.0021842819 insectivore
114  39009 2000 insects       109 0.0025814241 insectivore
117  39009 2001 insects        78 0.0013899976 insectivore
120  39009 2002 insects       107 0.0027799952 insectivore
124  39009 2003 insects        97 0.0013899976 insectivore
127  39009 2004 insects       109 0.0321685154 insectivore
131  39009 2005 insects        72 0.0740670138 insectivore
132  39009 2006 insects        82 0.0784355776 insectivore
