Route,Year,Shannon,Lati,Longi,GEOID,county
1,2000,2.92680683,41.5501237,-84.3898389,39171,Williams
1,2004,2.808163482,41.5501237,-84.3898389,39171,Williams
1,2010,2.926526062,41.5501237,-84.3898389,39171,Williams
1,2009,2.890928087,41.5501237,-84.3898389,39171,Williams
1,2007,2.616150124,41.5501237,-84.3898389,39171,Williams
2,2010,2.423984573,41.3867557,-84.1216579,39069,Henry
2,2000,3.000094809,41.3867557,-84.1216579,39069,Henry
2,2011,2.918380432,41.3867557,-84.1216579,39069,Henry
2,2012,3.006331955,41.3867557,-84.1216579,39069,Henry
2,2001,2.93352813,41.3867557,-84.1216579,39069,Henry
2,2006,2.647460969,41.3867557,-84.1216579,39069,Henry
2,2007,2.468583622,41.3867557,-84.1216579,39069,Henry
2,2008,2.43747186,41.3867557,-84.1216579,39069,Henry
2,2003,2.902084005,41.3867557,-84.1216579,39069,Henry
2,2009,2.16115938,41.3867557,-84.1216579,39069,Henry
2,2005,2.750239548,41.3867557,-84.1216579,39069,Henry
2,2002,2.945203173,41.3867557,-84.1216579,39069,Henry
2,2004,2.625016311,41.3867557,-84.1216579,39069,Henry
3,2012,3.125745268,41.6511517,-84.5147859,39171,Williams
3,2001,2.960024705,41.6511517,-84.5147859,39171,Williams
3,2011,2.982487378,41.6511517,-84.5147859,39171,Williams
3,2007,3.140592426,41.6511517,-84.5147859,39171,Williams
3,2008,3.001899962,41.6511517,-84.5147859,39171,Williams
3,2009,2.950545117,41.6511517,-84.5147859,39171,Williams
3,2005,2.715577013,41.6511517,-84.5147859,39171,Williams
3,2000,3.129152589,41.6511517,-84.5147859,39171,Williams
3,2013,3.06437598,41.6511517,-84.5147859,39171,Williams
3,2003,2.745111115,41.6511517,-84.5147859,39171,Williams
3,2006,2.84762787,41.6511517,-84.5147859,39171,Williams
3,2002,2.946126247,41.6511517,-84.5147859,39171,Williams
3,2004,2.814680509,41.6511517,-84.5147859,39171,Williams
3,2010,3.215501165,41.6511517,-84.5147859,39171,Williams
5,2012,3.479950289,41.0376017,-82.9962929,39147,Seneca
5,2001,3.409297223,41.0376017,-82.9962929,39147,Seneca
5,2011,3.472490624,41.0376017,-82.9962929,39147,Seneca
5,2007,3.526608142,41.0376017,-82.9962929,39147,Seneca
5,2009,3.329424982,41.0376017,-82.9962929,39147,Seneca
5,2010,3.417389537,41.0376017,-82.9962929,39147,Seneca
5,2006,3.431611629,41.0376017,-82.9962929,39147,Seneca
5,2000,3.39128877,41.0376017,-82.9962929,39147,Seneca
5,2008,3.457302039,41.0376017,-82.9962929,39147,Seneca
5,2003,3.4528716,41.0376017,-82.9962929,39147,Seneca
5,2002,3.475375314,41.0376017,-82.9962929,39147,Seneca
5,2005,3.374692749,41.0376017,-82.9962929,39147,Seneca
5,2004,3.381519773,41.0376017,-82.9962929,39147,Seneca
5,2013,3.558834526,41.0376017,-82.9962929,39147,Seneca
6,2001,2.84292344,41.4427171,-83.087075,39143,Sandusky
6,2009,2.449168637,41.4427171,-83.087075,39143,Sandusky
