countrynum,statenum,Route,Active,Lati,Longi,Stratum,BCR,LandTypeID,RouteTypeID,RouteTypeDetailId
840,2,1,1,34.868688,-87.6041417,14,27,0,1,1
840,2,2,0,34.6386747,-87.1912919,14,24,0,1,1
840,2,3,0,34.8,-87.7333333,14,24,0,1,1
840,2,4,1,34.0297881,-87.0592352,13,28,0,1,1
840,2,5,0,34.2016687,-86.4934089,13,28,0,1,1
840,2,6,1,34.5012877,-86.6855493,14,24,0,1,1
840,2,7,1,34.8680404,-86.2030371,14,24,0,1,1
840,2,8,1,34.0278089,-85.7110414,13,28,0,1,1
840,2,9,0,34.3039507,-85.9267589,13,28,0,1,1
840,2,10,1,33.1913463,-85.9258408,11,29,0,1,1
840,2,11,0,33.6257237,-85.7518379,13,28,0,1,1
840,2,12,1,33.6076572,-85.7511714,13,28,0,1,1
840,2,13,1,33.8116977,-86.1153789,13,28,0,1,1
840,2,14,1,33.4549551,-86.6010915,13,28,0,1,1
840,2,15,1,33.6822947,-86.8721632,13,28,0,1,1
840,2,16,1,33.8481773,-87.5888357,13,27,0,1,1
840,2,17,1,33.5263185,-87.0044623,13,28,0,1,1
840,2,18,0,33.15,-87,4,28,0,1,1
840,2,19,1,33.4765537,-88.1712189,4,27,0,1,1
840,2,20,1,32.1307226,-88.3172665,4,27,0,1,1
840,2,21,1,32.2782397,-87.8359539,4,27,0,1,1
840,2,22,1,32.442715,-87.2158334,4,27,0,1,1
840,2,23,1,32.7846996,-87.5153953,4,27,0,1,1
840,2,24,1,32.1312407,-86.2754989,4,27,0,1,1
840,2,25,1,32.6594297,-86.7017714,4,27,0,1,1
840,2,26,1,32.5890245,-86.1307777,4,27,0,1,1
840,2,27,1,32.3116131,-85.5530853,4,27,0,1,1
840,2,28,1,32.8854647,-85.2044589,11,29,0,1,1
840,2,29,1,32.1473077,-85.0626449,4,27,0,1,1
840,2,30,1,31.3388298,-85.5895835,4,27,0,1,1
840,2,31,1,31.0081277,-85.2112631,4,27,0,1,1
