"SiteID","Latitude","Longitude","Shannon","o$GEOID","o$NAME"
2,41.6,-82.71355,2.701900621,"39043","Erie"
4,41.49,-81.58221,2.273499003,"39035","Cuyahoga"
7,41.67543,-81.23817,2.168488935,"39085","Lake"
8,41.69765,-81.23497,2.136221833,"39085","Lake"
10,41.67,-83.68,1.688935118,"39095","Lucas"
11,41.58489,-81.08202,2.178338492,"39055","Geauga"
12,41.14,-81.58154,2.442706219,"39153","Summit"
15,38.78935,-84.12704,1.961652516,"39025","Clermont"
16,39.58929,-82.60757,2.674914242,"39073","Hocking"
17,41.26339,-81.55956,2.235235419,"39153","Summit"
18,41.19286,-81.5819,2.572328373,"39153","Summit"
22,40.75,-84.32747,1.694119648,"39003","Allen"
23,41.32489,-82.08527,2.24259415,"39093","Lorain"
24,39.82239,-81.72321,1.94243307,"39119","Muskingum"
26,39.82239,-81.72321,3.10071285,"39119","Muskingum"
27,39.64143,-84.17648,2.902963821,"39113","Montgomery"
28,38.8401,-83.574,2.602326189,"39001","Adams"
31,38.7009,-83.2233,2.324665203,"39145","Scioto"
35,41.81,-81.12038,2.302790093,"39085","Lake"
37,40.68,-81.64378,1.963151545,"39151","Stark"
43,39.127206,-84.247497,2.622258571,"39025","Clermont"
46,39.11598,-84.49177,2.268689896,"39061","Hamilton"
52,39.670337,-82.934572,2.738967195,"39129","Pickaway"
53,39.764668,-82.853121,2.929658744,"39129","Pickaway"
54,40.115935,-82.959333,2.553060394,"39049","Franklin"
55,40.199097,-82.94552,2.882837843,"39041","Delaware"
56,40.150456,-83.02467,2.4506317,"39041","Delaware"
57,40.009164,-83.017998,1.696923805,"39049","Franklin"
58,39.93789,-83.001136,2.063167245,"39049","Franklin"
60,41.43,-82.65646,2.761765932,"39043","Erie"
61,39.892268,-82.912298,2.039845351,"39049","Franklin"
63,40.071368,-82.872609,3.268516045,"39049","Franklin"
64,39.977801,-82.413,2.460094011,"39089","Licking"
65,39.844136,-81.867678,2.605011169,"39119","Muskingum"
66,40.671907,-81.64278,2.98190627,"39151","Stark"
67,41.112464,-81.737013,2.645718374,"39103","Medina"
71,41.39,-82.82263,1.840713464,"39043","Erie"
73,41.542294,-81.630568,1.829417802,"39035","Cuyahoga"
77,41.401495,-82.597944,2.674926871,"39043","Erie"
78,41.392134,-82.830097,3.143470609,"39043","Erie"
79,41.584495,-82.84207,1.481442358,"39123","Ottawa"
84,41.671585,-83.782906,3.236150911,"39095","Lucas"
85,41.555663,-83.854468,3.107278261,"39095","Lucas"
86,41.50023,-83.793894,2.517848304,"39095","Lucas"
87,40.955939,-83.549218,2.401792731,"39063","Hancock"
88,40.761087,-84.05672,2.720351378,"39003","Allen"
95,40.18185927,-83.94870243,2.119869423,"39021","Champaign"
96,39.217521,-82.970662,2.870558884,"39141","Ross"
97,39.397417,-82.945427,2.399170595,"39141","Ross"
99,39.953743,-83.713381,2.219986696,"39023","Clark"
101,41.042106,-81.850496,1.833342782,"39103","Medina"
103,41.317281,-81.595554,2.251435296,"39035","Cuyahoga"
106,41.419268,-81.360637,2.588085528,"39055","Geauga"
107,41.422241,-81.417216,2.458759222,"39035","Cuyahoga"
108,41.580575,-81.429467,2.233139824,"39085","Lake"
109,41.609751,-81.331238,2.808753264,"39085","Lake"
110,41.583384,-81.079681,1.453108428,"39055","Geauga"
