Abeillia abeillei,"Emerald-chinned Hummingbird",H,H,H,H
Abroscopus albogularis,Rufous-faced Warbler,H,L,U,L
Abroscopus schisticeps,Black-faced Warbler,H,H,U,L
Abroscopus superciliaris,Yellow-bellied Warbler,H,L,U,L
Aburria aburri,Wattled Guan,H,U,L,L
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,H,H,L,L
Acanthidops bairdii,Peg-billed Finch,H,H,H,H
Acanthisitta chloris,Rifleman,U,L,H,L
Acanthiza apicalis,Inland Thornbill,H,L,L,L
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,H,L,L,L
Acanthiza ewingii,Tasmanian Thornbill,H,L,H,L
Acanthiza inornata,Western Thornbill,H,H,U,L
Acanthiza iredalei,Slender-billed Thornbill,U,L,U,L
Acanthiza katherina,Mountain Thornbill,H,H,L,L
Acanthiza lineata,Striated Thornbill,H,H,H,H
Acanthiza murina,Papuan Thornbill,H,H,H,H
Acanthiza nana,Yellow Thornbill,U,L,U,L
Acanthiza pusilla,Brown Thornbill,H,H,L,L
Acanthiza reguloides,Buff-rumped Thornbill,U,L,U,L
Acanthiza robustirostris,Slaty-backed Thornbill,U,L,U,L
Acanthiza uropygialis,Chestnut-rumped Thornbill,U,L,U,L
"Acanthorhynchus superciliosus",Western Spinebill,H,H,H,H
"Acanthorhynchus tenuirostris",Eastern Spinebill,H,L,L,L
Acanthornis magna,Scrubtit,H,L,H,L
Accipiter albogularis,Pied Goshawk,H,H,H,H
Accipiter badius,Shikra,L,H,L,L
Accipiter bicolor,Bicoloured Hawk,L,H,L,L
Accipiter brachyurus,New Britain Sparrowhawk,H,H,H,H
Accipiter brevipes,Levant Sparrowhawk,H,H,H,H
Accipiter butleri,Nicobar Sparrowhawk,H,H,H,H
Accipiter castanilius,"Chestnut-flanked Sparrowhawk",H,H,H,H
Accipiter cirrocephalus,Collared Sparrowhawk,L,H,L,L
Accipiter erythrauchen,Rufous-necked Sparrowhawk,H,H,H,H
Accipiter erythropus,Red-thighed Sparrowhawk,H,H,H,H
Accipiter fasciatus,Brown Goshawk,L,H,L,L
Accipiter francesiae,Frances's Sparrowhawk,U,H,U,L
Accipiter gentilis,Northern Goshawk,H,H,H,H
Accipiter griseiceps,Sulawesi Goshawk,H,H,H,H
Accipiter gularis,Japanese Sparrowhawk,L,H,H,L
Accipiter gundlachi,Gundlach's Hawk,H,H,H,H
Accipiter haplochrous,White-bellied Goshawk,H,H,H,H
Accipiter henicogrammus,Moluccan Goshawk,H,H,H,H
Accipiter henstii,Henst's Goshawk,H,H,L,L
Accipiter imitator,Imitator Sparrowhawk,H,H,L,L
Accipiter luteoschistaceus,Slaty-mantled Sparrowhawk,H,H,H,H
"Accipiter madagascariensis",Madagascar Sparrowhawk,L,H,L,L
Accipiter melanochlamys,Black-mantled Goshawk,H,H,H,H
Accipiter melanoleucus,Black Goshawk,L,H,L,L
Accipiter meyerianus,Meyer's Goshawk,H,H,H,H
Accipiter minullus,Little Sparrowhawk,L,H,L,L
Accipiter nanus,Small Sparrowhawk,H,H,H,H
Accipiter nisus,Eurasian Sparrowhawk,H,H,H,H
Accipiter novaehollandiae,Grey Goshawk,H,H,L,L
Accipiter ovampensis,Ovampo Sparrowhawk,L,H,L,L
Accipiter poliocephalus,Grey-headed Goshawk,U,H,U,L
Accipiter poliogaster,Gray-bellied Hawk,H,H,H,H
Accipiter princeps,New Britain Goshawk,H,H,H,H
Accipiter rhodogaster,"Vinous-breasted Sparrowhawk",H,H,H,H
Accipiter rufitorques,Fiji Goshawk,H,H,L,L
Accipiter rufiventris,"Rufous-chested Sparrowhawk",H,H,L,L
Accipiter soloensis,Chinese Goshawk,L,H,L,L
Accipiter striatus,Sharp-shinned Hawk,H,H,L,L
Accipiter superciliosus,Tiny Hawk,H,H,H,H
Accipiter tachiro,African Goshawk,U,H,L,L
Accipiter trinotatus,Spot-tailed Goshawk,H,H,H,H
Accipiter trivirgatus,Crested Goshawk,H,H,L,L
Accipiter virgatus,Besra,H,H,H,H
Aceros cassidix,Knobbed Hornbill,H,H,H,H
Aceros comatus,White-crowned Hornbill,H,H,H,H
Aceros corrugatus,Wrinkled Hornbill,H,H,H,H
Aceros everetti,Sumba Hornbill,H,H,H,H
Aceros leucocephalus,Writhed Hornbill,H,H,H,H
Aceros narcondami,Narcondam Hornbill,H,H,U,L
Aceros plicatus,Papuan Hornbill,H,H,L,L
Aceros subruficollis,Plain-pouched Hornbill,H,H,H,H
Aceros undulatus,Wreathed Hornbill,H,H,L,L
Aceros waldeni,Rufous-headed Hornbill,H,H,H,H
Achaetops pycnopygius,Rockrunner,H,L,H,L
Acridotheres albocinctus,Collared Myna,U,L,U,L
Acridotheres cinereus,Pale-bellied Myna,U,U,U,L
Acridotheres cristatellus,Crested Myna,U,L,U,L
Acridotheres fuscus,Jungle Myna,U,L,U,L
Acridotheres ginginianus,Bank Myna,U,L,U,L
Acridotheres grandis,White-vented Myna,U,L,U,L
Acridotheres tristis,Common Myna,U,L,L,L
Acrobatornis fonsecai,Pink-legged Graveteiro,H,U,H,L
Acrocephalus aedon,Thick-billed Warbler,U,U,U,L
"Acrocephalus aequinoctialis",Kiritimati Reed-warbler,H,H,U,L
Acrocephalus agricola,Paddyfield Warbler,H,L,H,L
