"","GEOID","reclass","YEAR","pix"
"1","18001","1",1992,2533
"2","18001","1",1993,2573.22222222222
"3","18001","1",1994,2613.44444444444
"4","18001","1",1995,2653.66666666667
"5","18001","1",1996,2693.88888888889
"6","18001","1",1997,2734.11111111111
"7","18001","1",1998,2774.33333333333
"8","18001","1",1999,2814.55555555556
"9","18001","1",2000,2854.77777777778
"10","18001","1",2001,2895
"11","18001","1",2002,2904.6
"12","18001","1",2003,2914.2
"13","18001","1",2004,2923.8
"14","18001","1",2005,2933.4
"15","18001","1",2006,2943
"16","18001","1",2007,2963.8
"17","18001","1",2008,2984.6
"18","18001","1",2009,3005.4
"19","18001","1",2010,3026.2
"20","18001","1",2011,3047
"21","18001","2",1992,77485
"22","18001","2",1993,77554.2222222222
"23","18001","2",1994,77623.4444444444
"24","18001","2",1995,77692.6666666667
"25","18001","2",1996,77761.8888888889
"26","18001","2",1997,77831.1111111111
"27","18001","2",1998,77900.3333333333
"28","18001","2",1999,77969.5555555556
"29","18001","2",2000,78038.7777777778
"30","18001","2",2001,78108
"31","18001","2",2002,78167.6
"32","18001","2",2003,78227.2
"33","18001","2",2004,78286.8
"34","18001","2",2005,78346.4
"35","18001","2",2006,78406
"36","18001","2",2007,78627.8
"37","18001","2",2008,78849.6
"38","18001","2",2009,79071.4
"39","18001","2",2010,79293.2
"40","18001","2",2011,79515
"41","18001","3",1992,255
"42","18001","3",1993,256.222222222222
"43","18001","3",1994,257.444444444444
"44","18001","3",1995,258.666666666667
"45","18001","3",1996,259.888888888889
"46","18001","3",1997,261.111111111111
"47","18001","3",1998,262.333333333333
"48","18001","3",1999,263.555555555556
"49","18001","3",2000,264.777777777778
"50","18001","3",2001,266
"51","18001","3",2002,266
"52","18001","3",2003,266
"53","18001","3",2004,266
"54","18001","3",2005,266
"55","18001","3",2006,266
"56","18001","3",2007,254.2
"57","18001","3",2008,242.4
"58","18001","3",2009,230.6
"59","18001","3",2010,218.8
"60","18001","3",2011,207
"61","18001","4",1992,45404
"62","18001","4",1993,45364.8888888889
"63","18001","4",1994,45325.7777777778
"64","18001","4",1995,45286.6666666667
"65","18001","4",1996,45247.5555555556
"66","18001","4",1997,45208.4444444444
"67","18001","4",1998,45169.3333333333
"68","18001","4",1999,45130.2222222222
"69","18001","4",2000,45091.1111111111
"70","18001","4",2001,45052
"71","18001","4",2002,45049.6
"72","18001","4",2003,45047.2
"73","18001","4",2004,45044.8
"74","18001","4",2005,45042.4
"75","18001","4",2006,45040
"76","18001","4",2007,44994.6
"77","18001","4",2008,44949.2
"78","18001","4",2009,44903.8
"79","18001","4",2010,44858.4
"80","18001","4",2011,44813
"81","18001","5",1992,14378
"82","18001","5",1993,14391.7777777778
"83","18001","5",1994,14405.5555555556
"84","18001","5",1995,14419.3333333333
"85","18001","5",1996,14433.1111111111
"86","18001","5",1997,14446.8888888889
"87","18001","5",1998,14460.6666666667
"88","18001","5",1999,14474.4444444444
"89","18001","5",2000,14488.2222222222
"90","18001","5",2001,14502
"91","18001","5",2002,14502
"92","18001","5",2003,14502
"93","18001","5",2004,14502
"94","18001","5",2005,14502
"95","18001","5",2006,14502
"96","18001","5",2007,14513.6
"97","18001","5",2008,14525.2
"98","18001","5",2009,14536.8
"99","18001","5",2010,14548.4
"100","18001","5",2011,14560
"101","18001","6",1992,832986
"102","18001","6",1993,832888.333333333
"103","18001","6",1994,832790.666666667
"104","18001","6",1995,832693
"105","18001","6",1996,832595.333333333
"106","18001","6",1997,832497.666666667
"107","18001","6",1998,832400
"108","18001","6",1999,832302.333333333
"109","18001","6",2000,832204.666666667
"110","18001","6",2001,832107
"111","18001","6",2002,832040.2
"112","18001","6",2003,831973.4
"113","18001","6",2004,831906.6
"114","18001","6",2005,831839.8
"115","18001","6",2006,831773
"116","18001","6",2007,831573.2
"117","18001","6",2008,831373.4
"118","18001","6",2009,831173.6
"119","18001","6",2010,830973.8
"120","18001","6",2011,830774
"121","18001","7",1992,5295
"122","18001","7",1993,5307.33333333333
"123","18001","7",1994,5319.66666666667
"124","18001","7",1995,5332
"125","18001","7",1996,5344.33333333333
"126","18001","7",1997,5356.66666666667
"127","18001","7",1998,5369
"128","18001","7",1999,5381.33333333333
"129","18001","7",2000,5393.66666666667
"130","18001","7",2001,5406
"131","18001","7",2002,5406
"132","18001","7",2003,5406
"133","18001","7",2004,5406
"134","18001","7",2005,5406
"135","18001","7",2006,5406
"136","18001","7",2007,5408.8
"137","18001","7",2008,5411.6
"138","18001","7",2009,5414.4
"139","18001","7",2010,5417.2
"140","18001","7",2011,5420
"141","18003","1",1992,15647
"142","18003","1",1993,16047.3333333333
"143","18003","1",1994,16447.6666666667
"144","18003","1",1995,16848
"145","18003","1",1996,17248.3333333333
"146","18003","1",1997,17648.6666666667
"147","18003","1",1998,18049
"148","18003","1",1999,18449.3333333333
"149","18003","1",2000,18849.6666666667
"150","18003","1",2001,19250
"151","18003","1",2002,19307.4
"152","18003","1",2003,19364.8
