"site","reclass","buffer","YEAR","total_pix","km2"
"1","1","1000",1992,71,0.0639
"1","4","1000",1992,588,0.5292
"1","6","1000",1992,2006,1.8054
"1","7","1000",1992,682,0.6138
"1","1","10000",1992,2153,1.9377
"1","2","10000",1992,39669,35.7021
"1","3","10000",1992,0,0
"1","4","10000",1992,51181,46.0629
"1","5","10000",1992,2210,1.989
"1","6","10000",1992,208191,187.3719
"1","7","10000",1992,37525,33.7725
"1","4","200",1992,57,0.0513
"1","6","200",1992,57,0.0513
"1","1","2000",1992,83,0.0747
"1","2","2000",1992,346,0.3114
"1","4","2000",1992,1797,1.6173
"1","6","2000",1992,9302,8.3718
"1","7","2000",1992,2176,1.9584
"1","4","400",1992,101,0.0909
"1","6","400",1992,247,0.2223
"1","1","5000",1992,245,0.2205
"1","2","5000",1992,6369,5.7321
"1","4","5000",1992,11147,10.0323
"1","5","5000",1992,607,0.5463
"1","6","5000",1992,57305,51.5745
"1","7","5000",1992,10194,9.1746
"1","1","200",1992,0,0
"1","7","200",1992,0,0
"1","1","400",1992,0,0
"1","2","400",1992,0,0
"1","7","400",1992,0,0
"1","2","1000",1992,0,0
"1","5","2000",1992,0,0
"1","1","1000",1993,72.5555555555556,0.0653
"1","4","1000",1993,603,0.5427
"1","6","1000",1993,1987.33333333333,1.7886
"1","7","1000",1993,684.111111111111,0.6157
"1","1","10000",1993,2174.44444444444,1.957
"1","2","10000",1993,39647.6666666667,35.6829
"1","3","10000",1993,0.777777777777778,7e-04
"1","4","10000",1993,51204.2222222222,46.0838
"1","5","10000",1993,2219.33333333333,1.9974
"1","6","10000",1993,208039.555555556,187.2356
"1","7","10000",1993,37643,33.8787
"1","4","200",1993,58.2222222222222,0.0524
"1","6","200",1993,55.7777777777778,0.0502
"1","1","2000",1993,84.5555555555556,0.0761
"1","2","2000",1993,344.888888888889,0.3104
"1","4","2000",1993,1810.55555555556,1.6295
"1","6","2000",1993,9284.55555555555,8.3561
"1","7","2000",1993,2179.44444444444,1.9615
"1","4","400",1993,104.444444444444,0.094
"1","6","400",1993,243.555555555556,0.2192
"1","1","5000",1993,257.444444444444,0.2317
"1","2","5000",1993,6365,5.7285
"1","4","5000",1993,11169.6666666667,10.0527
"1","5","5000",1993,607.555555555556,0.5468
"1","6","5000",1993,57230.3333333333,51.5073
"1","7","5000",1993,10237,9.2133
"1","1","200",1993,0,0
"1","7","200",1993,0,0
"1","1","400",1993,0,0
"1","2","400",1993,0,0
"1","7","400",1993,0,0
"1","2","1000",1993,0,0
"1","5","2000",1993,0,0
"1","1","1000",1994,74.1111111111111,0.0667
"1","4","1000",1994,618,0.5562
