"","GEOID","reclass","YEAR","pix"
"1","18001","1",1992,2533
"2","18001","1",1993,2573.22222222222
"3","18001","1",1994,2613.44444444444
"4","18001","1",1995,2653.66666666667
"5","18001","1",1996,2693.88888888889
"6","18001","1",1997,2734.11111111111
"7","18001","1",1998,2774.33333333333
"8","18001","1",1999,2814.55555555556
"9","18001","1",2000,2854.77777777778
"10","18001","1",2001,2895
"11","18001","1",2002,2904.6
"12","18001","1",2003,2914.2
"13","18001","1",2004,2923.8
"14","18001","1",2005,2933.4
"15","18001","1",2006,2943
"16","18001","1",2007,2963.8
"17","18001","1",2008,2984.6
"18","18001","1",2009,3005.4
"19","18001","1",2010,3026.2
"20","18001","1",2011,3047
"21","18001","1",2012,3067.8
"22","18001","2",1992,77485
"23","18001","2",1993,77554.2222222222
"24","18001","2",1994,77623.4444444444
"25","18001","2",1995,77692.6666666667
"26","18001","2",1996,77761.8888888889
"27","18001","2",1997,77831.1111111111
"28","18001","2",1998,77900.3333333333
"29","18001","2",1999,77969.5555555556
"30","18001","2",2000,78038.7777777778
"31","18001","2",2001,78108
"32","18001","2",2002,78167.6
"33","18001","2",2003,78227.2
"34","18001","2",2004,78286.8
"35","18001","2",2005,78346.4
"36","18001","2",2006,78406
"37","18001","2",2007,78627.8
"38","18001","2",2008,78849.6
"39","18001","2",2009,79071.4
"40","18001","2",2010,79293.2
"41","18001","2",2011,79515
"42","18001","2",2012,79736.8
"43","18001","3",1992,255
"44","18001","3",1993,256.222222222222
"45","18001","3",1994,257.444444444444
"46","18001","3",1995,258.666666666667
"47","18001","3",1996,259.888888888889
"48","18001","3",1997,261.111111111111
"49","18001","3",1998,262.333333333333
"50","18001","3",1999,263.555555555556
"51","18001","3",2000,264.777777777778
"52","18001","3",2001,266
"53","18001","3",2002,266
"54","18001","3",2003,266
"55","18001","3",2004,266
"56","18001","3",2005,266
"57","18001","3",2006,266
"58","18001","3",2007,254.2
"59","18001","3",2008,242.4
"60","18001","3",2009,230.6
"61","18001","3",2010,218.8
"62","18001","3",2011,207
"63","18001","3",2012,195.2
"64","18001","4",1992,45404
"65","18001","4",1993,45364.8888888889
"66","18001","4",1994,45325.7777777778
"67","18001","4",1995,45286.6666666667
"68","18001","4",1996,45247.5555555556
"69","18001","4",1997,45208.4444444444
"70","18001","4",1998,45169.3333333333
"71","18001","4",1999,45130.2222222222
"72","18001","4",2000,45091.1111111111
"73","18001","4",2001,45052
"74","18001","4",2002,45049.6
"75","18001","4",2003,45047.2
"76","18001","4",2004,45044.8
"77","18001","4",2005,45042.4
"78","18001","4",2006,45040
"79","18001","4",2007,44994.6
"80","18001","4",2008,44949.2
"81","18001","4",2009,44903.8
"82","18001","4",2010,44858.4
"83","18001","4",2011,44813
"84","18001","4",2012,44767.6
"85","18001","5",1992,14378
"86","18001","5",1993,14391.7777777778
"87","18001","5",1994,14405.5555555556
"88","18001","5",1995,14419.3333333333
"89","18001","5",1996,14433.1111111111
"90","18001","5",1997,14446.8888888889
"91","18001","5",1998,14460.6666666667
"92","18001","5",1999,14474.4444444444
"93","18001","5",2000,14488.2222222222
"94","18001","5",2001,14502
"95","18001","5",2002,14502
"96","18001","5",2003,14502
"97","18001","5",2004,14502
"98","18001","5",2005,14502
"99","18001","5",2006,14502
"100","18001","5",2007,14513.6
"101","18001","5",2008,14525.2
"102","18001","5",2009,14536.8
"103","18001","5",2010,14548.4
"104","18001","5",2011,14560
"105","18001","5",2012,14571.6
"106","18001","6",1992,832986
"107","18001","6",1993,832888.333333333
"108","18001","6",1994,832790.666666667
"109","18001","6",1995,832693
"110","18001","6",1996,832595.333333333
"111","18001","6",1997,832497.666666667
"112","18001","6",1998,832400
"113","18001","6",1999,832302.333333333
"114","18001","6",2000,832204.666666667
"115","18001","6",2001,832107
"116","18001","6",2002,832040.2
"117","18001","6",2003,831973.4
"118","18001","6",2004,831906.6
"119","18001","6",2005,831839.8
"120","18001","6",2006,831773
"121","18001","6",2007,831573.2
"122","18001","6",2008,831373.4
"123","18001","6",2009,831173.6
"124","18001","6",2010,830973.8
"125","18001","6",2011,830774
"126","18001","6",2012,830574.2
"127","18001","7",1992,5295
"128","18001","7",1993,5307.33333333333
"129","18001","7",1994,5319.66666666667
"130","18001","7",1995,5332
"131","18001","7",1996,5344.33333333333
"132","18001","7",1997,5356.66666666667
"133","18001","7",1998,5369
"134","18001","7",1999,5381.33333333333
"135","18001","7",2000,5393.66666666667
"136","18001","7",2001,5406
"137","18001","7",2002,5406
"138","18001","7",2003,5406
"139","18001","7",2004,5406
"140","18001","7",2005,5406
"141","18001","7",2006,5406
"142","18001","7",2007,5408.8
"143","18001","7",2008,5411.6
"144","18001","7",2009,5414.4
"145","18001","7",2010,5417.2
"146","18001","7",2011,5420
"147","18001","7",2012,5422.8
"148","18003","1",1992,15647
"149","18003","1",1993,16047.3333333333
"150","18003","1",1994,16447.6666666667
"151","18003","1",1995,16848
"152","18003","1",1996,17248.3333333333
"153","18003","1",1997,17648.6666666667
