"GEOID","reclass","year","total"
"18001","1",1992,2533
"18003","1",1992,15647
"18029","1",1992,8381
"18033","1",1992,4268
"18047","1",1992,17865
"18075","1",1992,1248
"18135","1",1992,2120
"18151","1",1992,40746
"18161","1",1992,10985
"18177","1",1992,3390
"21015","1",1992,32090
"21019","1",1992,6082
"21023","1",1992,17712
"21037","1",1992,24541
"21089","1",1992,25709
"21117","1",1992,7466
"21135","1",1992,33841
"21161","1",1992,16241
"21191","1",1992,7979
"26023","1",1992,35799
"26059","1",1992,19260
"26091","1",1992,30758
"26115","1",1992,369954
"39001","1",1992,8007
"39003","1",1992,9085
"39005","1",1992,10177
"39007","1",1992,1905518
"39009","1",1992,8431
"39011","1",1992,13879
"39013","1",1992,16292
"39015","1",1992,9698
"39017","1",1992,14405
"39019","1",1992,14870
"39021","1",1992,4826
"39023","1",1992,14493
"39025","1",1992,17190
"39027","1",1992,5526
"39029","1",1992,12516
"39031","1",1992,18379
"39033","1",1992,2910
"39035","1",1992,2258601
"39037","1",1992,2598
"39039","1",1992,11601
"39041","1",1992,40399
"39043","1",1992,1077197
"39045","1",1992,11829
"39047","1",1992,2126
"39049","1",1992,21986
"39051","1",1992,2562
"39053","1",1992,9591
"39055","1",1992,18838
"39057","1",1992,4776
"39059","1",1992,22102
"39061","1",1992,18581
"39063","1",1992,7990
"39065","1",1992,1601
"39067","1",1992,23862
"39069","1",1992,11930
"39071","1",1992,14007
"39073","1",1992,4748
"39075","1",1992,5442
"39077","1",1992,11115
"39079","1",1992,4534
"39081","1",1992,11685
"39083","1",1992,10784
"39085","1",1992,2124008
"39087","1",1992,7416
"39089","1",1992,9142
"39091","1",1992,26686
"39093","1",1992,1238947
"39095","1",1992,738825
"39097","1",1992,3910
"39099","1",1992,26392
"39101","1",1992,3946
"39103","1",1992,9344
"39105","1",1992,10026
"39107","1",1992,48201
"39109","1",1992,6761
"39111","1",1992,6041
"39113","1",1992,12437
"39115","1",1992,12049
"39117","1",1992,4370
"39119","1",1992,25945
"39121","1",1992,15033
"39123","1",1992,954989
"39125","1",1992,10279
"39127","1",1992,6776
"39129","1",1992,18035
"39131","1",1992,8274
"39133","1",1992,46730
"39135","1",1992,4844
"39137","1",1992,5543
"39139","1",1992,12177
"39141","1",1992,13878
"39143","1",1992,27426
"39145","1",1992,12101
"39147","1",1992,6325
"39149","1",1992,7234
"39151","1",1992,18500
"39153","1",1992,21642
"39155","1",1992,52594
"39157","1",1992,19478
"39159","1",1992,2882
"39161","1",1992,1722
"39163","1",1992,4551
"39165","1",1992,19737
"39167","1",1992,17971
"39169","1",1992,14969
"39171","1",1992,5515
"39173","1",1992,12198
"39175","1",1992,8071
"42007","1",1992,25212
"42039","1",1992,95184
"42049","1",1992,2171425
"42073","1",1992,10967
"42085","1",1992,37322
"54009","1",1992,9962
"54011","1",1992,19667
"54029","1",1992,15380
"54035","1",1992,19809
"54051","1",1992,19965
"54053","1",1992,40084
"54069","1",1992,8512
"54073","1",1992,14307
"54095","1",1992,12165
"54099","1",1992,17196
"54103","1",1992,7892
"54107","1",1992,30253
"18001","1",2001,2895
"18003","1",2001,19250
"18029","1",2001,8512
"18033","1",2001,6382
"18047","1",2001,18941
"18075","1",2001,1807
"18135","1",2001,2238
"18151","1",2001,43024
"18161","1",2001,10941
"18177","1",2001,3855
"21015","1",2001,32498
"21019","1",2001,6223
"21023","1",2001,17816
"21037","1",2001,24516
"21089","1",2001,25769
"21117","1",2001,7537
"21135","1",2001,34174
"21161","1",2001,16445
"21191","1",2001,8043
"26023","1",2001,36648
"26059","1",2001,19875
"26091","1",2001,31478
"26115","1",2001,361931
"39001","1",2001,7904
"39003","1",2001,9657
"39005","1",2001,10217
"39007","1",2001,1912134
"39009","1",2001,9365
"39011","1",2001,14657
"39013","1",2001,17929
"39015","1",2001,9966
"39017","1",2001,14340
"39019","1",2001,15672
"39021","1",2001,5290
"39023","1",2001,16460
"39025","1",2001,17657
"39027","1",2001,5791
"39029","1",2001,13922
"39031","1",2001,20468
"39033","1",2001,3387
"39035","1",2001,2259376
"39037","1",2001,2976
"39039","1",2001,11892
"39041","1",2001,41992
"39043","1",2001,1075903
"39045","1",2001,12574
"39047","1",2001,2478
"39049","1",2001,24065
"39051","1",2001,3347
"39053","1",2001,10010
"39055","1",2001,24283
"39057","1",2001,6234
"39059","1",2001,23742
"39061","1",2001,19899
"39063","1",2001,9089
"39065","1",2001,1781
"39067","1",2001,24869
"39069","1",2001,12045
"39071","1",2001,14527
"39073","1",2001,5406
"39075","1",2001,6388
"39077","1",2001,11770
"39079","1",2001,5596
"39081","1",2001,12624
"39083","1",2001,11480
"39085","1",2001,2125998
"39087","1",2001,7235
"39089","1",2001,10344
"39091","1",2001,27456
"39093","1",2001,1239956
"39095","1",2001,737017
"39097","1",2001,4299
"39099","1",2001,33282
"39101","1",2001,6719
"39103","1",2001,10010
"39105","1",2001,11388
"39107","1",2001,48142
"39109","1",2001,7545
"39111","1",2001,6558
"39113","1",2001,14253
"39115","1",2001,12970
"39117","1",2001,4889
"39119","1",2001,27918
"39121","1",2001,15910
"39123","1",2001,950453
"39125","1",2001,10540
"39127","1",2001,8517
"39129","1",2001,19777
"39131","1",2001,8851
"39133","1",2001,53865
"39135","1",2001,6099
"39137","1",2001,5643
"39139","1",2001,13350
"39141","1",2001,14855
"39143","1",2001,26753
"39145","1",2001,12892
"39147","1",2001,6700
"39149","1",2001,7875
"39151","1",2001,20318
"39153","1",2001,23735
"39155","1",2001,61662
"39157","1",2001,23051
"39159","1",2001,3860
"39161","1",2001,1822
"39163","1",2001,5202
"39165","1",2001,20144
"39167","1",2001,18690
"39169","1",2001,12971
"39171","1",2001,6674
"39173","1",2001,12790
"39175","1",2001,8596
"42007","1",2001,26743
"42039","1",2001,106195
"42049","1",2001,2172995
"42073","1",2001,13971
"42085","1",2001,44146
"54009","1",2001,10278
"54011","1",2001,20127
"54029","1",2001,15982
"54035","1",2001,21882
"54051","1",2001,21131
"54053","1",2001,41010
"54069","1",2001,8817
"54073","1",2001,14968
"54095","1",2001,12219
"54099","1",2001,18313
"54103","1",2001,8007
"54107","1",2001,30643
"18001","1",2006,2943
"18003","1",2006,19537
"18029","1",2006,8571
"18033","1",2006,6605
"18047","1",2006,18989
"18075","1",2006,1818
"18135","1",2006,2288
"18151","1",2006,43178
"18161","1",2006,10991
"18177","1",2006,3924
"21015","1",2006,32464
"21019","1",2006,6139
"21023","1",2006,18121
"21037","1",2006,24484
"21089","1",2006,26432
"21117","1",2006,7536
"21135","1",2006,34376
"21161","1",2006,16570
"21191","1",2006,8113
"26023","1",2006,36837
"26059","1",2006,20007
"26091","1",2006,31772
"26115","1",2006,363245
"39001","1",2006,7928
"39003","1",2006,9769
"39005","1",2006,10276
"39007","1",2006,1912370
"39009","1",2006,9365
"39011","1",2006,14784
"39013","1",2006,17499
"39015","1",2006,10072
"39017","1",2006,14328
"39019","1",2006,15772
"39021","1",2006,5495
"39023","1",2006,16703
"39025","1",2006,17684
"39027","1",2006,5910
"39029","1",2006,13742
"39031","1",2006,19976
"39033","1",2006,3514
"39035","1",2006,2259250
"39037","1",2006,2940
"39039","1",2006,12047
"39041","1",2006,42322
"39043","1",2006,1075953
"39045","1",2006,12552
"39047","1",2006,2829
"39049","1",2006,24686
"39051","1",2006,3427
"39053","1",2006,10288
"39055","1",2006,24340
"39057","1",2006,6278
"39059","1",2006,23583
"39061","1",2006,19891
"39063","1",2006,8945
"39065","1",2006,1861
"39067","1",2006,24674
"39069","1",2006,11961
"39071","1",2006,14786
