"year","GEOID","site","reclass","buffer","total"
1992,"18029","47","1",200,0
1992,"18029","47","1",400,0
1992,"18029","47","1",1000,0
1992,"18029","47","1",2000,0
1992,"18029","47","1",5000,0
1992,"18029","47","1",10000,530
1992,"18047","47","1",200,0
1992,"18047","47","1",400,0
1992,"18047","47","1",1000,0
1992,"18047","47","1",2000,0
1992,"18047","47","1",5000,0
1992,"18047","47","1",10000,0
1992,"21023","123","1",200,0
1992,"21023","123","1",400,0
1992,"21023","123","1",1000,0
1992,"21023","123","1",2000,0
1992,"21023","123","1",5000,6700
1992,"21023","123","1",10000,11914
1992,"21135","138","1",200,0
1992,"21135","138","1",400,0
1992,"21135","138","1",1000,0
1992,"21135","138","1",2000,0
1992,"21135","138","1",5000,0
1992,"21135","138","1",10000,11044
1992,"21135","144","1",200,0
1992,"21135","144","1",400,0
1992,"21135","144","1",1000,0
1992,"21135","144","1",2000,0
1992,"21135","144","1",5000,0
1992,"21135","144","1",10000,3210
1992,"21191","123","1",200,0
1992,"21191","123","1",400,0
1992,"21191","123","1",1000,0
1992,"21191","123","1",2000,0
1992,"21191","123","1",5000,0
1992,"21191","123","1",10000,0
1992,"26115","109","1",200,0
1992,"26115","109","1",400,0
1992,"26115","109","1",1000,0
1992,"26115","109","1",2000,0
1992,"26115","109","1",5000,0
1992,"26115","109","1",10000,0
1992,"26115","117","1",200,0
1992,"26115","117","1",400,0
1992,"26115","117","1",1000,0
1992,"26115","117","1",2000,0
1992,"26115","117","1",5000,0
1992,"26115","117","1",10000,0
1992,"26115","84","1",200,0
1992,"26115","84","1",400,0
1992,"26115","84","1",1000,0
1992,"26115","84","1",2000,0
1992,"26115","84","1",5000,0
1992,"26115","84","1",10000,0
1992,"39001","136","1",200,0
1992,"39001","136","1",400,0
1992,"39001","136","1",1000,0
1992,"39001","136","1",2000,27
1992,"39001","136","1",5000,110
1992,"39001","136","1",10000,315
1992,"39001","138","1",200,0
1992,"39001","138","1",400,0
1992,"39001","138","1",1000,0
1992,"39001","138","1",2000,0
1992,"39001","138","1",5000,0
1992,"39001","138","1",10000,689
1992,"39001","144","1",200,0
1992,"39001","144","1",400,0
1992,"39001","144","1",1000,0
1992,"39001","144","1",2000,0
1992,"39001","144","1",5000,0
1992,"39001","144","1",10000,0
1992,"39001","146","1",200,0
1992,"39001","146","1",400,0
1992,"39001","146","1",1000,0
1992,"39001","146","1",2000,0
1992,"39001","146","1",5000,225
1992,"39001","146","1",10000,1286
1992,"39003","100","1",200,0
1992,"39003","100","1",400,0
1992,"39003","100","1",1000,106
1992,"39003","100","1",2000,730
1992,"39003","100","1",5000,3791
1992,"39003","100","1",10000,4522
1992,"39003","127","1",200,8
1992,"39003","127","1",400,149
1992,"39003","127","1",1000,430
1992,"39003","127","1",2000,1537
1992,"39003","127","1",5000,3763
1992,"39003","127","1",10000,4524
1992,"39003","128","1",200,0
1992,"39003","128","1",400,29
1992,"39003","128","1",1000,31
1992,"39003","128","1",2000,979
1992,"39003","128","1",5000,3386
1992,"39003","128","1",10000,4499
1992,"39003","13","1",200,0
1992,"39003","13","1",400,0
1992,"39003","13","1",1000,0
1992,"39003","13","1",2000,0
1992,"39003","13","1",5000,0
1992,"39003","13","1",10000,3003
1992,"39003","21","1",200,0
1992,"39003","21","1",400,0
1992,"39003","21","1",1000,0
1992,"39003","21","1",2000,0
1992,"39003","21","1",5000,2674
1992,"39003","21","1",10000,4322
1992,"39003","48","1",200,0
1992,"39003","48","1",400,0
1992,"39003","48","1",1000,-2
1992,"39003","48","1",2000,745
1992,"39003","48","1",5000,3788
1992,"39003","48","1",10000,4515
1992,"39007","119","1",200,0
1992,"39007","119","1",400,0
1992,"39007","119","1",1000,0
1992,"39007","119","1",2000,0
1992,"39007","119","1",5000,0
1992,"39007","119","1",10000,74
1992,"39007","16","1",200,0
1992,"39007","16","1",400,0
1992,"39007","16","1",1000,0
1992,"39007","16","1",2000,0
1992,"39007","16","1",5000,0
1992,"39007","16","1",10000,0
1992,"39011","128","1",200,0
1992,"39011","128","1",400,0
1992,"39011","128","1",1000,0
1992,"39011","128","1",2000,0
1992,"39011","128","1",5000,0
1992,"39011","128","1",10000,0
1992,"39011","13","1",200,0
1992,"39011","13","1",400,0
1992,"39011","13","1",1000,0
1992,"39011","13","1",2000,0
1992,"39011","13","1",5000,0
1992,"39011","13","1",10000,0
1992,"39011","21","1",200,0
1992,"39011","21","1",400,0
1992,"39011","21","1",1000,0
1992,"39011","21","1",2000,0
1992,"39011","21","1",5000,0
1992,"39011","21","1",10000,23
1992,"39015","123","1",200,0
1992,"39015","123","1",400,0
1992,"39015","123","1",1000,0
1992,"39015","123","1",2000,0
1992,"39015","123","1",5000,0
1992,"39015","123","1",10000,0
1992,"39015","136","1",200,0
1992,"39015","136","1",400,0
1992,"39015","136","1",1000,0
1992,"39015","136","1",2000,0
1992,"39015","136","1",5000,0
1992,"39015","136","1",10000,0
1992,"39015","77","1",200,0
1992,"39015","77","1",400,0
1992,"39015","77","1",1000,0
1992,"39015","77","1",2000,0
1992,"39015","77","1",5000,0
1992,"39015","77","1",10000,0
