"year","GEOID","RTENO","reclass","buffer","total"
1992,"18033","66003","2",200,0
1992,"18033","66003","2",400,0
1992,"18033","66003","2",1000,0
1992,"18033","66003","2",2000,0
1992,"18033","66003","2",5000,0
1992,"18033","66003","2",10000,0
1992,"18047","66060","2",200,0
1992,"18047","66060","2",400,0
1992,"18047","66060","2",1000,0
1992,"18047","66060","2",2000,0
1992,"18047","66060","2",5000,990
1992,"18047","66060","2",10000,4366
1992,"18075","66024","2",200,0
1992,"18075","66024","2",400,0
1992,"18075","66024","2",1000,0
1992,"18075","66024","2",2000,0
1992,"18075","66024","2",5000,0
1992,"18075","66024","2",10000,715
1992,"18075","66027","2",200,0
1992,"18075","66027","2",400,0
1992,"18075","66027","2",1000,0
1992,"18075","66027","2",2000,0
1992,"18075","66027","2",5000,0
1992,"18075","66027","2",10000,1291
1992,"18135","66027","2",200,0
1992,"18135","66027","2",400,0
1992,"18135","66027","2",1000,0
1992,"18135","66027","2",2000,0
1992,"18135","66027","2",5000,922
1992,"18135","66027","2",10000,9597
1992,"18151","66003","2",200,0
1992,"18151","66003","2",400,0
1992,"18151","66003","2",1000,0
1992,"18151","66003","2",2000,0
1992,"18151","66003","2",5000,0
1992,"18151","66003","2",10000,0
1992,"18161","66058","2",200,0
1992,"18161","66058","2",400,0
1992,"18161","66058","2",1000,0
1992,"18161","66058","2",2000,0
1992,"18161","66058","2",5000,0
1992,"18161","66058","2",10000,1045
1992,"18161","66060","2",200,85
1992,"18161","66060","2",400,237
1992,"18161","66060","2",1000,526
1992,"18161","66060","2",2000,1300
1992,"18161","66060","2",5000,5271
1992,"18161","66060","2",10000,12589
1992,"18177","66060","2",200,0
1992,"18177","66060","2",400,0
1992,"18177","66060","2",1000,0
1992,"18177","66060","2",2000,0
1992,"18177","66060","2",5000,0
1992,"18177","66060","2",10000,1324
1992,"21089","66087","2",200,0
1992,"21089","66087","2",400,0
1992,"21089","66087","2",1000,0
1992,"21089","66087","2",2000,0
1992,"21089","66087","2",5000,0
1992,"21089","66087","2",10000,8611
1992,"21135","66086","2",200,0
1992,"21135","66086","2",400,0
1992,"21135","66086","2",1000,0
1992,"21135","66086","2",2000,792
1992,"21135","66086","2",5000,3262
1992,"21135","66086","2",10000,11035
1992,"21135","66902","2",200,0
1992,"21135","66902","2",400,0
1992,"21135","66902","2",1000,0
1992,"21135","66902","2",2000,0
1992,"21135","66902","2",5000,562
1992,"21135","66902","2",10000,9624
1992,"26059","66003","2",200,0
1992,"26059","66003","2",400,0
1992,"26059","66003","2",1000,0
1992,"26059","66003","2",2000,0
1992,"26059","66003","2",5000,0
1992,"26059","66003","2",10000,4526
1992,"39001","66085","2",200,1973
1992,"39001","66085","2",400,2362
1992,"39001","66085","2",1000,3790
1992,"39001","66085","2",2000,6650
1992,"39001","66085","2",5000,19052
1992,"39001","66085","2",10000,42262
1992,"39001","66086","2",200,1652
1992,"39001","66086","2",400,1949
1992,"39001","66086","2",1000,2914
1992,"39001","66086","2",2000,5497
1992,"39001","66086","2",5000,14717
1992,"39001","66086","2",10000,29263
1992,"39001","66902","2",200,0
1992,"39001","66902","2",400,0
1992,"39001","66902","2",1000,0
1992,"39001","66902","2",2000,0
1992,"39001","66902","2",5000,1913
1992,"39001","66902","2",10000,9110
1992,"39001","66907","2",200,0
1992,"39001","66907","2",400,0
1992,"39001","66907","2",1000,0
1992,"39001","66907","2",2000,0
1992,"39001","66907","2",5000,0
1992,"39001","66907","2",10000,2993
1992,"39003","66025","2",200,4684
1992,"39003","66025","2",400,7704
1992,"39003","66025","2",1000,15915
1992,"39003","66025","2",2000,29808
1992,"39003","66025","2",5000,74034
1992,"39003","66025","2",10000,135836
1992,"39005","66011","2",200,0
1992,"39005","66011","2",400,0
1992,"39005","66011","2",1000,0
1992,"39005","66011","2",2000,0
1992,"39005","66011","2",5000,3282
1992,"39005","66011","2",10000,11030
1992,"39005","66039","2",200,0
1992,"39005","66039","2",400,0
1992,"39005","66039","2",1000,0
1992,"39005","66039","2",2000,0
1992,"39005","66039","2",5000,0
1992,"39005","66039","2",10000,0
1992,"39005","66040","2",200,0
1992,"39005","66040","2",400,0
1992,"39005","66040","2",1000,0
1992,"39005","66040","2",2000,0
1992,"39005","66040","2",5000,2022
1992,"39005","66040","2",10000,14867
1992,"39005","66908","2",200,1545
1992,"39005","66908","2",400,1770
1992,"39005","66908","2",1000,2486
1992,"39005","66908","2",2000,4030
1992,"39005","66908","2",5000,10723
1992,"39005","66908","2",10000,14904
1992,"39007","66017","2",200,0
1992,"39007","66017","2",400,0
1992,"39007","66017","2",1000,0
1992,"39007","66017","2",2000,0
1992,"39007","66017","2",5000,0
1992,"39007","66017","2",10000,662
1992,"39007","66021","2",200,2900
1992,"39007","66021","2",400,3911
1992,"39007","66021","2",1000,7887
1992,"39007","66021","2",2000,16823
1992,"39007","66021","2",5000,55524
1992,"39007","66021","2",10000,101160
1992,"39009","66073","2",200,901
1992,"39009","66073","2",400,1212
1992,"39009","66073","2",1000,2938
1992,"39009","66073","2",2000,8390
1992,"39009","66073","2",5000,21074
1992,"39009","66073","2",10000,50785
1992,"39009","66076","2",200,2179
1992,"39009","66076","2",400,2897
1992,"39009","66076","2",1000,4755
1992,"39009","66076","2",2000,8019
1992,"39009","66076","2",5000,17490
1992,"39009","66076","2",10000,34645
1992,"39009","66082","2",200,2049
1992,"39009","66082","2",400,2516
1992,"39009","66082","2",1000,3866
1992,"39009","66082","2",2000,6480
1992,"39009","66082","2",5000,14672
1992,"39009","66082","2",10000,28069
1992,"39009","66903","2",200,0
1992,"39009","66903","2",400,0
1992,"39009","66903","2",1000,0
1992,"39009","66903","2",2000,0
1992,"39009","66903","2",5000,2633
1992,"39009","66903","2",10000,10894
1992,"39009","66906","2",200,2014
1992,"39009","66906","2",400,2499
1992,"39009","66906","2",1000,3915
1992,"39009","66906","2",2000,7230
1992,"39009","66906","2",5000,16419
1992,"39009","66906","2",10000,30732
1992,"39011","66024","2",200,1067
1992,"39011","66024","2",400,1299
1992,"39011","66024","2",1000,2379
1992,"39011","66024","2",2000,6855
1992,"39011","66024","2",5000,18329
1992,"39011","66024","2",10000,58009
1992,"39011","66025","2",200,0
1992,"39011","66025","2",400,0
1992,"39011","66025","2",1000,0
1992,"39011","66025","2",2000,0
1992,"39011","66025","2",5000,1126
1992,"39011","66025","2",10000,9519
1992,"39013","66046","2",200,0
1992,"39013","66046","2",400,0
1992,"39013","66046","2",1000,0
1992,"39013","66046","2",2000,0
1992,"39013","66046","2",5000,0
1992,"39013","66046","2",10000,2277
1992,"39013","66083","2",200,0
1992,"39013","66083","2",400,0
1992,"39013","66083","2",1000,0
1992,"39013","66083","2",2000,0
1992,"39013","66083","2",5000,0
1992,"39013","66083","2",10000,0
1992,"39015","66061","2",200,0
1992,"39015","66061","2",400,0
1992,"39015","66061","2",1000,0
1992,"39015","66061","2",2000,0
1992,"39015","66061","2",5000,0
1992,"39015","66061","2",10000,0
1992,"39015","66064","2",200,0
1992,"39015","66064","2",400,0
1992,"39015","66064","2",1000,0
1992,"39015","66064","2",2000,0
1992,"39015","66064","2",5000,0
1992,"39015","66064","2",10000,0
1992,"39015","66085","2",200,0
1992,"39015","66085","2",400,0
1992,"39015","66085","2",1000,0
1992,"39015","66085","2",2000,0
1992,"39015","66085","2",5000,8665
1992,"39015","66085","2",10000,20036
1992,"39015","66086","2",200,0
1992,"39015","66086","2",400,0
1992,"39015","66086","2",1000,32
1992,"39015","66086","2",2000,183
1992,"39015","66086","2",5000,1165
1992,"39015","66086","2",10000,5262
1992,"39017","66058","2",200,0
1992,"39017","66058","2",400,0
1992,"39017","66058","2",1000,357
1992,"39017","66058","2",2000,1976
1992,"39017","66058","2",5000,10350
1992,"39017","66058","2",10000,47392
1992,"39017","66060","2",200,2271
1992,"39017","66060","2",400,3331
1992,"39017","66060","2",1000,6490
1992,"39017","66060","2",2000,13971
1992,"39017","66060","2",5000,32230
1992,"39017","66060","2",10000,70077
1992,"39019","66046","2",200,1145
1992,"39019","66046","2",400,1488
1992,"39019","66046","2",1000,3126
1992,"39019","66046","2",2000,6335
1992,"39019","66046","2",5000,18350
1992,"39019","66046","2",10000,45628
1992,"39019","66157","2",200,0
1992,"39019","66157","2",400,0
1992,"39019","66157","2",1000,0
1992,"39019","66157","2",2000,0
1992,"39019","66157","2",5000,0
1992,"39019","66157","2",10000,1284
1992,"39021","66031","2",200,1511
1992,"39021","66031","2",400,1882
1992,"39021","66031","2",1000,3117
1992,"39021","66031","2",2000,6382
1992,"39021","66031","2",5000,18205
1992,"39021","66031","2",10000,44085
1992,"39023","66067","2",200,0
1992,"39023","66067","2",400,0
1992,"39023","66067","2",1000,0
1992,"39023","66067","2",2000,0
1992,"39023","66067","2",5000,0
1992,"39023","66067","2",10000,838
1992,"39023","66166","2",200,0
1992,"39023","66166","2",400,0
1992,"39023","66166","2",1000,0
1992,"39023","66166","2",2000,0
1992,"39023","66166","2",5000,0
1992,"39023","66166","2",10000,0
1992,"39023","66168","2",200,0
1992,"39023","66168","2",400,0
1992,"39023","66168","2",1000,4222
1992,"39023","66168","2",2000,10625
1992,"39023","66168","2",5000,22573
1992,"39023","66168","2",10000,78821
1992,"39025","66061","2",200,0
1992,"39025","66061","2",400,0
1992,"39025","66061","2",1000,0
1992,"39025","66061","2",2000,0
1992,"39025","66061","2",5000,1909
1992,"39025","66061","2",10000,10197
1992,"39027","66061","2",200,0
1992,"39027","66061","2",400,0
1992,"39027","66061","2",1000,0
1992,"39027","66061","2",2000,0
1992,"39027","66061","2",5000,6337
1992,"39027","66061","2",10000,20430
1992,"39027","66064","2",200,0
1992,"39027","66064","2",400,0
1992,"39027","66064","2",1000,0
1992,"39027","66064","2",2000,0
1992,"39027","66064","2",5000,12420
1992,"39027","66064","2",10000,35081
1992,"39027","66165","2",200,1534
1992,"39027","66165","2",400,2027
1992,"39027","66165","2",1000,3407
1992,"39027","66165","2",2000,5705
1992,"39027","66165","2",5000,15648
1992,"39027","66165","2",10000,36261
1992,"39027","66168","2",200,0
1992,"39027","66168","2",400,0
1992,"39027","66168","2",1000,0
1992,"39027","66168","2",2000,0
1992,"39027","66168","2",5000,1453
1992,"39027","66168","2",10000,8097
1992,"39029","66056","2",200,0
1992,"39029","66056","2",400,0
1992,"39029","66056","2",1000,0
1992,"39029","66056","2",2000,0
1992,"39029","66056","2",5000,0
1992,"39029","66056","2",10000,1592
1992,"39029","66157","2",200,4068
1992,"39029","66157","2",400,5497
1992,"39029","66157","2",1000,10738
1992,"39029","66157","2",2000,22945
1992,"39029","66157","2",5000,62393
1992,"39029","66157","2",10000,114492
1992,"39031","66049","2",200,0
1992,"39031","66049","2",400,155
1992,"39031","66049","2",1000,282
1992,"39031","66049","2",2000,940
1992,"39031","66049","2",5000,3741
1992,"39031","66049","2",10000,14154
1992,"39031","66148","2",200,0
1992,"39031","66148","2",400,0
1992,"39031","66148","2",1000,0
1992,"39031","66148","2",2000,291
1992,"39031","66148","2",5000,2131
1992,"39031","66148","2",10000,10868
1992,"39031","66251","2",200,1226
1992,"39031","66251","2",400,1680
1992,"39031","66251","2",1000,3721
1992,"39031","66251","2",2000,9112
1992,"39031","66251","2",5000,28723
1992,"39031","66251","2",10000,55130
1992,"39033","66005","2",200,0
1992,"39033","66005","2",400,0
1992,"39033","66005","2",1000,0
1992,"39033","66005","2",2000,0
1992,"39033","66005","2",5000,0
1992,"39033","66005","2",10000,5036
1992,"39033","66042","2",200,0
1992,"39033","66042","2",400,0
1992,"39033","66042","2",1000,0
1992,"39033","66042","2",2000,0
1992,"39033","66042","2",5000,0
1992,"39033","66042","2",10000,8351
1992,"39033","66113","2",200,0
1992,"39033","66113","2",400,0
1992,"39033","66113","2",1000,0
1992,"39033","66113","2",2000,0
1992,"39033","66113","2",5000,0
1992,"39033","66113","2",10000,4103
1992,"39035","66018","2",200,2962
1992,"39035","66018","2",400,5513
1992,"39035","66018","2",1000,13243
1992,"39035","66018","2",2000,25683
1992,"39035","66018","2",5000,69821
1992,"39035","66018","2",10000,190925
1992,"39035","66116","2",200,0
1992,"39035","66116","2",400,0
1992,"39035","66116","2",1000,0
1992,"39035","66116","2",2000,0
1992,"39035","66116","2",5000,0
1992,"39035","66116","2",10000,7
1992,"39035","66118","2",200,0
1992,"39035","66118","2",400,0
1992,"39035","66118","2",1000,0
1992,"39035","66118","2",2000,0
1992,"39035","66118","2",5000,0
1992,"39035","66118","2",10000,12446
1992,"39037","66027","2",200,1644
1992,"39037","66027","2",400,2068
1992,"39037","66027","2",1000,3923
1992,"39037","66027","2",2000,8529
1992,"39037","66027","2",5000,21818
1992,"39037","66027","2",10000,47763
1992,"39039","66002","2",200,0
1992,"39039","66002","2",400,0
1992,"39039","66002","2",1000,0
1992,"39039","66002","2",2000,0
1992,"39039","66002","2",5000,0
1992,"39039","66002","2",10000,0
1992,"39039","66003","2",200,0
1992,"39039","66003","2",400,0
1992,"39039","66003","2",1000,0
1992,"39039","66003","2",2000,3749
1992,"39039","66003","2",5000,10906
1992,"39039","66003","2",10000,24132
1992,"39041","66034","2",200,2422
1992,"39041","66034","2",400,3706
1992,"39041","66034","2",1000,8240
1992,"39041","66034","2",2000,19168
1992,"39041","66034","2",5000,46164
1992,"39041","66034","2",10000,87335
1992,"39041","66035","2",200,0
1992,"39041","66035","2",400,0
1992,"39041","66035","2",1000,0
1992,"39041","66035","2",2000,0
1992,"39041","66035","2",5000,114
1992,"39041","66035","2",10000,3433
1992,"39041","66042","2",200,0
1992,"39041","66042","2",400,0
1992,"39041","66042","2",1000,0
1992,"39041","66042","2",2000,0
1992,"39041","66042","2",5000,0
1992,"39041","66042","2",10000,3444
1992,"39041","66141","2",200,4246
1992,"39041","66141","2",400,6942
1992,"39041","66141","2",1000,14931
1992,"39041","66141","2",2000,28148
1992,"39041","66141","2",5000,56189
1992,"39041","66141","2",10000,94935
1992,"39043","66011","2",200,0
1992,"39043","66011","2",400,0
1992,"39043","66011","2",1000,0
1992,"39043","66011","2",2000,0
1992,"39043","66011","2",5000,0
1992,"39043","66011","2",10000,156
1992,"39043","66112","2",200,501
1992,"39043","66112","2",400,590
1992,"39043","66112","2",1000,1448
1992,"39043","66112","2",2000,3568
1992,"39043","66112","2",5000,10999
1992,"39043","66112","2",10000,29518
1992,"39043","66113","2",200,0
1992,"39043","66113","2",400,0
1992,"39043","66113","2",1000,0
1992,"39043","66113","2",2000,0
1992,"39043","66113","2",5000,4064
1992,"39043","66113","2",10000,17236
1992,"39045","66072","2",200,0
1992,"39045","66072","2",400,0
1992,"39045","66072","2",1000,0
1992,"39045","66072","2",2000,0
1992,"39045","66072","2",5000,0
1992,"39045","66072","2",10000,799
1992,"39045","66075","2",200,0
1992,"39045","66075","2",400,0
1992,"39045","66075","2",1000,0
1992,"39045","66075","2",2000,0
1992,"39045","66075","2",5000,1459
1992,"39045","66075","2",10000,8454
1992,"39047","66067","2",200,1710
1992,"39047","66067","2",400,2311
1992,"39047","66067","2",1000,3648
1992,"39047","66067","2",2000,5675
1992,"39047","66067","2",5000,11803
1992,"39047","66067","2",10000,24504
1992,"39047","66165","2",200,0
1992,"39047","66165","2",400,1666
1992,"39047","66165","2",1000,2578
1992,"39047","66165","2",2000,4857
1992,"39047","66165","2",5000,11609
1992,"39047","66165","2",10000,25408
1992,"39049","66035","2",200,0
1992,"39049","66035","2",400,0
1992,"39049","66035","2",1000,0
1992,"39049","66035","2",2000,0
1992,"39049","66035","2",5000,0
1992,"39049","66035","2",10000,737
1992,"39049","66141","2",200,2131
1992,"39049","66141","2",400,4170
1992,"39049","66141","2",1000,11016
1992,"39049","66141","2",2000,21869
1992,"39049","66141","2",5000,59862
1992,"39049","66141","2",10000,179633
1992,"39049","66166","2",200,1071
1992,"39049","66166","2",400,1524
1992,"39049","66166","2",1000,2770
1992,"39049","66166","2",2000,5486
1992,"39049","66166","2",5000,10479
1992,"39049","66166","2",10000,42083
1992,"39051","66001","2",200,2835
1992,"39051","66001","2",400,3869
1992,"39051","66001","2",1000,7447
1992,"39051","66001","2",2000,19434
1992,"39051","66001","2",5000,47542
1992,"39051","66001","2",10000,75587
1992,"39051","66003","2",200,0
1992,"39051","66003","2",400,0
1992,"39051","66003","2",1000,0
1992,"39051","66003","2",2000,0
1992,"39051","66003","2",5000,0
1992,"39051","66003","2",10000,191
1992,"39053","66073","2",200,0
1992,"39053","66073","2",400,0
1992,"39053","66073","2",1000,0
1992,"39053","66073","2",2000,342
1992,"39053","66073","2",5000,2375
1992,"39053","66073","2",10000,8863
1992,"39053","66188","2",200,0
1992,"39053","66188","2",400,0
1992,"39053","66188","2",1000,0
1992,"39053","66188","2",2000,8160
1992,"39053","66188","2",5000,22920
1992,"39053","66188","2",10000,50541
1992,"39053","66901","2",200,711
1992,"39053","66901","2",400,875
1992,"39053","66901","2",1000,1715
1992,"39053","66901","2",2000,2928
1992,"39053","66901","2",5000,4988
1992,"39053","66901","2",10000,9072
1992,"39055","66017","2",200,2468
1992,"39055","66017","2",400,3424
1992,"39055","66017","2",1000,7258
1992,"39055","66017","2",2000,12719
1992,"39055","66017","2",5000,30041
1992,"39055","66017","2",10000,69942
1992,"39055","66018","2",200,0
1992,"39055","66018","2",400,0
1992,"39055","66018","2",1000,0
1992,"39055","66018","2",2000,0
1992,"39055","66018","2",5000,0
1992,"39055","66018","2",10000,3702
1992,"39055","66022","2",200,0
1992,"39055","66022","2",400,0
1992,"39055","66022","2",1000,0
1992,"39055","66022","2",2000,0
1992,"39055","66022","2",5000,1355
1992,"39055","66022","2",10000,7101
1992,"39055","66116","2",200,0
1992,"39055","66116","2",400,0
1992,"39055","66116","2",1000,0
1992,"39055","66116","2",2000,0
1992,"39055","66116","2",5000,1362
1992,"39055","66116","2",10000,10967
1992,"39057","66061","2",200,0
1992,"39057","66061","2",400,0
1992,"39057","66061","2",1000,0
1992,"39057","66061","2",2000,0
1992,"39057","66061","2",5000,0
1992,"39057","66061","2",10000,261
1992,"39057","66067","2",200,777
1992,"39057","66067","2",400,995
1992,"39057","66067","2",1000,1850
1992,"39057","66067","2",2000,4119
1992,"39057","66067","2",5000,15548
1992,"39057","66067","2",10000,37265
1992,"39057","66165","2",200,0
1992,"39057","66165","2",400,0
1992,"39057","66165","2",1000,0
1992,"39057","66165","2",2000,0
1992,"39057","66165","2",5000,4674
1992,"39057","66165","2",10000,12492
1992,"39057","66168","2",200,3800
1992,"39057","66168","2",400,5752
1992,"39057","66168","2",1000,11020
1992,"39057","66168","2",2000,19042
1992,"39057","66168","2",5000,53311
1992,"39057","66168","2",10000,111633
1992,"39059","66049","2",200,1175
1992,"39059","66049","2",400,1538
1992,"39059","66049","2",1000,2721
1992,"39059","66049","2",2000,4717
1992,"39059","66049","2",5000,13010
1992,"39059","66049","2",10000,29066
1992,"39059","66083","2",200,5098
1992,"39059","66083","2",400,7671
1992,"39059","66083","2",1000,13765
1992,"39059","66083","2",2000,21905
1992,"39059","66083","2",5000,49611
1992,"39059","66083","2",10000,92003
1992,"39059","66150","2",200,1168
1992,"39059","66150","2",400,1408
1992,"39059","66150","2",1000,2253
1992,"39059","66150","2",2000,4416
1992,"39059","66150","2",5000,11713
1992,"39059","66150","2",10000,31888
1992,"39063","66005","2",200,0
1992,"39063","66005","2",400,0
1992,"39063","66005","2",1000,2387
1992,"39063","66005","2",2000,5058
1992,"39063","66005","2",5000,16335
1992,"39063","66005","2",10000,59964
1992,"39063","66008","2",200,0
1992,"39063","66008","2",400,0
1992,"39063","66008","2",1000,0
1992,"39063","66008","2",2000,0
1992,"39063","66008","2",5000,0
1992,"39063","66008","2",10000,6923
1992,"39063","66033","2",200,1778
1992,"39063","66033","2",400,2340
1992,"39063","66033","2",1000,4327
1992,"39063","66033","2",2000,8138
1992,"39063","66033","2",5000,28175
1992,"39063","66033","2",10000,83623
1992,"39065","66032","2",200,0
1992,"39065","66032","2",400,1935
1992,"39065","66032","2",1000,3477
1992,"39065","66032","2",2000,7224
1992,"39065","66032","2",5000,24732
1992,"39065","66032","2",10000,48831
1992,"39065","66033","2",200,592
1992,"39065","66033","2",400,826
1992,"39065","66033","2",1000,1606
1992,"39065","66033","2",2000,3516
1992,"39065","66033","2",5000,11304
1992,"39065","66033","2",10000,38249
1992,"39067","66046","2",200,2240
1992,"39067","66046","2",400,3047
1992,"39067","66046","2",1000,5280
1992,"39067","66046","2",2000,9775
1992,"39067","66046","2",5000,24470
1992,"39067","66046","2",10000,56657
1992,"39067","66056","2",200,0
1992,"39067","66056","2",400,0
1992,"39067","66056","2",1000,0
1992,"39067","66056","2",2000,0
1992,"39067","66056","2",5000,0
1992,"39067","66056","2",10000,882
1992,"39067","66150","2",200,0
1992,"39067","66150","2",400,0
1992,"39067","66150","2",1000,0
1992,"39067","66150","2",2000,0
1992,"39067","66150","2",5000,0
1992,"39067","66150","2",10000,2273
1992,"39069","66001","2",200,0
1992,"39069","66001","2",400,0
1992,"39069","66001","2",1000,0
1992,"39069","66001","2",2000,0
1992,"39069","66001","2",5000,0
1992,"39069","66001","2",10000,9155
1992,"39069","66002","2",200,0
1992,"39069","66002","2",400,3923
1992,"39069","66002","2",1000,7393
1992,"39069","66002","2",2000,15115
1992,"39069","66002","2",5000,32646
1992,"39069","66002","2",10000,59352
1992,"39071","66064","2",200,1239
1992,"39071","66064","2",400,1592
1992,"39071","66064","2",1000,2979
1992,"39071","66064","2",2000,5847
