Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"9,860",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"11,800",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,400",
SURVEY,2013,YEAR,,STATE,MICHIGAN,26,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,120",
SURVEY,2013,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,050",
SURVEY,2013,YEAR,,STATE,OHIO,39,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,190",
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"9,400",
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"11,500",
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,390",
SURVEY,2012,YEAR,,STATE,MICHIGAN,26,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,660",
SURVEY,2012,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,850",
