Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2013,YEAR,,STATE,ALABAMA,1,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,750",
SURVEY,2013,YEAR,,STATE,ARIZONA,4,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,290",
SURVEY,2013,YEAR,,STATE,ARIZONA,4,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,290",
SURVEY,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,380",
SURVEY,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,790",
SURVEY,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,760",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"9,860",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"11,800",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,400",
SURVEY,2013,YEAR,,STATE,COLORADO,8,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,770",
SURVEY,2013,YEAR,,STATE,COLORADO,8,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,100",
SURVEY,2013,YEAR,,STATE,COLORADO,8,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,200",
SURVEY,2013,YEAR,,STATE,CONNECTICUT,9,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED, (S),
SURVEY,2013,YEAR,,STATE,DELAWARE,10,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,870",
SURVEY,2013,YEAR,,STATE,FLORIDA,12,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,450",
SURVEY,2013,YEAR,,STATE,FLORIDA,12,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,280",
SURVEY,2013,YEAR,,STATE,FLORIDA,12,,,,,,,,AG LAND,"AG LAND, CROPLAND, NON-IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,660",
SURVEY,2013,YEAR,,STATE,GEORGIA,13,,,,,,,,AG LAND,"AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,080",
SURVEY,2013,YEAR,,STATE,GEORGIA,13,,,,,,,,AG LAND,"AG LAND, CROPLAND, IRRIGATED - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,120",
