Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","4,195",18.6
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",TENURE,TENURE: (FULL OWNER),"2,613",5
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",TENURE,TENURE: (PART OWNER),"6,281",8.3
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",TENURE,TENURE: (TENANT),"1,007",14.3
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","TENURE AND OPERATORS, PRINCIPAL","TENURE: (FULL OWNER) AND OPERATORS, PRINCIPAL: (GENDER = FEMALE)",108,17.2
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","TENURE AND OPERATORS, PRINCIPAL","TENURE: (PART OWNER) AND OPERATORS, PRINCIPAL: (GENDER = FEMALE)","4,065",19.8
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","TENURE AND OPERATORS, PRINCIPAL","TENURE: (TENANT) AND OPERATORS, PRINCIPAL: (GENDER = FEMALE)",22,70.6
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)",635,18.6
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",TENURE,TENURE: (FULL OWNER),"4,855",5
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",TENURE,TENURE: (PART OWNER),"21,213",8.3
