"SiteID","SeqID","duration","SiteDate","Week","mean.temp","mean.cloud","mean.wind","start.hour","ord.date","num.species","CommonName","Total","Num.Obs","Longitude","Latitude","mean.500","std.500"
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Clouded Sulphur",3,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Monarch",1,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Hackberry Emperor",3,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Pearl Crescent",1,1,-83.68,41.67,29.579693,17.582337
"10",11991,15,2007-05-06,6,61,10,21,14,126,0,"None seen this day",1,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Spring/Summer Azure",3,1,-83.68,41.67,29.579693,17.582337
"10",11997,30,2007-06-16,11,78,5,8,14,167,3,"Little Wood Satyr",3,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Unidentified Dark Skipper",1,1,-83.68,41.67,29.579693,17.582337
"10",12022,20,2007-09-28,26,73,5,15,14,271,4,"Clouded Sulphur",5,1,-83.68,41.67,29.579693,17.582337
"10",12022,20,2007-09-28,26,73,5,15,14,271,4,"Cabbage White",21,1,-83.68,41.67,29.579693,17.582337
"10",12022,20,2007-09-28,26,73,5,15,14,271,4,"Red Admiral",1,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Clouded Sulphur",10,1,-83.68,41.67,29.579693,17.582337
"10",12002,25,2007-07-14,15,78,25,9,15,195,3,"Cabbage White",5,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Monarch",2,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Cabbage White",8,1,-83.68,41.67,29.579693,17.582337
"10",12002,25,2007-07-14,15,78,25,9,15,195,3,"Clouded Sulphur",4,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Orange Sulphur",2,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Giant Swallowtail",1,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"Monarch",7,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Cabbage White",13,1,-83.68,41.67,29.579693,17.582337
"10",12022,20,2007-09-28,26,73,5,15,14,271,4,"Monarch",6,1,-83.68,41.67,29.579693,17.582337
"10",11995,20,2007-06-01,9,79,42.5,13,15,152,5,"Monarch",1,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Little Wood Satyr",1,1,-83.68,41.67,29.579693,17.582337
"10",12000,20,2007-07-06,14,81,0,3,14,187,6,"Common Wood Nymph",2,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Unidentified Sulphur",2,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Orange Sulphur",5,1,-83.68,41.67,29.579693,17.582337
"10",12018,15,2007-08-17,20,77,0,13,13,229,2,"Red-spotted Purple",1,1,-83.68,41.67,29.579693,17.582337
"10",12019,40,2007-08-25,21,80,100,9,14,237,5,"Cabbage White",5,1,-83.68,41.67,29.579693,17.582337
"10",12019,40,2007-08-25,21,80,100,9,14,237,5,"Giant Swallowtail",3,1,-83.68,41.67,29.579693,17.582337
"10",11993,20,2007-05-20,8,60,80,11.5,15,140,0,"None seen this day",1,1,-83.68,41.67,29.579693,17.582337
"10",11994,20,2007-05-27,9,78,100,13,14,147,0,"None seen this day",1,1,-83.68,41.67,29.579693,17.582337
"10",11995,20,2007-06-01,9,79,42.5,13,15,152,5,"Clouded Sulphur",1,1,-83.68,41.67,29.579693,17.582337
"10",11995,20,2007-06-01,9,79,42.5,13,15,152,5,"Little Wood Satyr",2,1,-83.68,41.67,29.579693,17.582337
"10",11995,20,2007-06-01,9,79,42.5,13,15,152,5,"Red-spotted Purple",1,1,-83.68,41.67,29.579693,17.582337
"10",11995,20,2007-06-01,9,79,42.5,13,15,152,5,"Eastern Tiger Swallowtail",1,1,-83.68,41.67,29.579693,17.582337
"10",12016,20,2007-07-20,16,78,45,16.5,14,201,7,"American Snout Butterfly",1,1,-83.68,41.67,29.579693,17.582337
"10",11999,20,2007-06-25,13,82,0,5,14,176,4,"Unidentified Skipper",1,1,-83.68,41.67,29.579693,17.582337
"10",12002,25,2007-07-14,15,78,25,9,15,195,3,"Spring/Summer Azure",2,1,-83.68,41.67,29.579693,17.582337
"10",11989,15,2007-04-28,4,65,30,6,15,118,1,"Cabbage White",2,1,-83.68,41.67,29.579693,17.582337
"10",11997,30,2007-06-16,11,78,5,8,14,167,3,"Clouded Sulphur",3,1,-83.68,41.67,29.579693,17.582337
"10",11997,30,2007-06-16,11,78,5,8,14,167,3,"Unidentified Butterfly",1,1,-83.68,41.67,29.579693,17.582337
"10",11997,30,2007-06-16,11,78,5,8,14,167,3,"Unidentified Skipper",1,1,-83.68,41.67,29.579693,17.582337
"10",11997,30,2007-06-16,11,78,5,8,14,167,3,"Cabbage White",4,1,-83.68,41.67,29.579693,17.582337
"10",12021,20,2007-09-14,24,77,100,10,14,257,1,"Cabbage White",1,1,-83.68,41.67,29.579693,17.582337
"10",12019,40,2007-08-25,21,80,100,9,14,237,5,"Orange Sulphur",2,1,-83.68,41.67,29.579693,17.582337
"10",12019,40,2007-08-25,21,80,100,9,14,237,5,"Unidentified Skipper",2,1,-83.68,41.67,29.579693,17.582337
"10",12019,40,2007-08-25,21,80,100,9,14,237,5,"Monarch",6,1,-83.68,41.67,29.579693,17.582337
