"GEOID","COMPOUND","YEAR","STATE_FIPS_CODE","COUNTY_FIPS_CODE","KG_EPhigh","KG_EPlow","USPS","ANSICODE","NAME","POP10","HU10","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","density_low","density_high"
18001,"IMIDACLOPRID",1997,18,1,0.4,0.4,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.00117984355274491,0.00117984355274491
18001,"IMIDACLOPRID",2004,18,1,75.8,75.2,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.221810587916042,0.22358035324516
18001,"IMIDACLOPRID",1998,18,1,0.1,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.000294960888186226
18001,"IMIDACLOPRID",2001,18,1,0.4,0.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000294960888186226,0.00117984355274491
18001,"THIAMETHOXAM",2009,18,1,432.9,432.9,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.27688568495817,1.27688568495817
18001,"IMIDACLOPRID",1999,18,1,3.6,3.6,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.0106185919747042,0.0106185919747042
18001,"IMIDACLOPRID",2002,18,1,0.1,0.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000294960888186226,0.000294960888186226
18001,"THIAMETHOXAM",2007,18,1,188.3,188.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.555411352454665,0.555411352454665
18001,"CLOTHIANIDIN",2008,18,1,457.2,457.2,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.34856118078743,1.34856118078743
18001,"IMIDACLOPRID",2007,18,1,202.9,177.6,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.523850537418738,0.598475642129854
18001,"IMIDACLOPRID",2006,18,1,48.3,0.5,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.00147480444093113,0.142466108993947
18001,"IMIDACLOPRID",1995,18,1,0.2,0.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000294960888186226,0.000589921776372453
18001,"FIPRONIL",2005,18,1,12.8,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.037754993687837
18001,"FIPRONIL",2004,18,1,66.3,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.195559068867468
18001,"CLOTHIANIDIN",2009,18,1,413.8,413.8,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.22054815531461,1.22054815531461
18001,"CLOTHIANIDIN",2006,18,1,291,291,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.858336184621919,0.858336184621919
18001,"IMIDACLOPRID",2010,18,1,758.9,740.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,2.18300553346626,2.23845818044527
18001,"IMIDACLOPRID",2003,18,1,0.3,0.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000884882664558679,0.000884882664558679
18001,"CLOTHIANIDIN",2004,18,1,178.4,178.4,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.526210224524228,0.526210224524228
18001,"FIPRONIL",2001,18,1,81,81,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.238918319430843,0.238918319430843
18001,"IMIDACLOPRID",2000,18,1,0.3,0.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000884882664558679,0.000884882664558679
18001,"FIPRONIL",2003,18,1,111.5,111.5,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.328881390327643,0.328881390327643
18001,"FIPRONIL",1999,18,1,9.6,9.6,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.0283162452658777,0.0283162452658777
18001,"THIAMETHOXAM",2004,18,1,38.7,38.7,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.11414986372807,0.11414986372807
18001,"CLOTHIANIDIN",2011,18,1,352.7,352.7,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.04032705263282,1.04032705263282
18001,"CLOTHIANIDIN",2007,18,1,481.2,481.2,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.41935179395212,1.41935179395212
18001,"IMIDACLOPRID",2008,18,1,21.8,2.6,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.00766898309284189,0.0643014736245974
18001,"FIPRONIL",2008,18,1,22.6,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.0666611607300872
18001,"IMIDACLOPRID",2009,18,1,157.2,153.7,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.45335488514223,0.463678516228748
18001,"THIAMETHOXAM",2003,18,1,0.1,0.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000294960888186226,0.000294960888186226
18001,"FIPRONIL",2000,18,1,76.3,76.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.225055157686091,0.225055157686091
18001,"THIAMETHOXAM",2005,18,1,96.4,96.4,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.284342296211522,0.284342296211522
18001,"THIAMETHOXAM",2008,18,1,322.5,322.5,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.95124886440058,0.95124886440058
18001,"IMIDACLOPRID",1996,18,1,15.8,15.7,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.0463088594452376,0.0466038203334238
18001,"THIACLOPRID",2004,18,1,0.1,0.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.000294960888186226,0.000294960888186226
18001,"THIAMETHOXAM",2006,18,1,210.1,210.1,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.619712826079262,0.619712826079262
18001,"CLOTHIANIDIN",2005,18,1,303.9,303.9,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.896386139197942,0.896386139197942
18001,"FIPRONIL",2002,18,1,405.7,405.7,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.19665632337152,1.19665632337152
18001,"IMIDACLOPRID",2011,18,1,1076.4,1064,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,3.13838385030145,3.17495900043654
18001,"CLOTHIANIDIN",2010,18,1,421.6,402,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,1.18574277050863,1.24355510459313
18001,"FIPRONIL",2009,18,1,44.7,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.131847517019243
18001,"FIPRONIL",1998,18,1,99.3,99.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.292896161968923,0.292896161968923
18001,"IMIDACLOPRID",2005,18,1,21.9,21.9,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.0645964345127836,0.0645964345127836
18001,"FIPRONIL",2006,18,1,28.8,28.8,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.0849487357976332,0.0849487357976332
18001,"THIAMETHOXAM",2010,18,1,277.4,277.4,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.818221503828592,0.818221503828592
18001,"THIAMETHOXAM",2011,18,1,191.3,191.3,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,0.564260179100251,0.564260179100251
18001,"FIPRONIL",2007,18,1,16.5,NA,"IN",450401,"Adams County",34387,13014,878079128,2430463,339.028,0.938,40.745733,-84.93613,NA,0.0486685465507274
18003,"IMIDACLOPRID",1997,18,3,1.7,1.7,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.00258630657165286,0.00258630657165286
18003,"IMIDACLOPRID",2004,18,3,86.4,85.5,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.13007600698607,0.13144522811224
18003,"THIAMETHOXAM",2007,18,3,252.1,252.1,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.383534051008051,0.383534051008051
18003,"IMIDACLOPRID",1998,18,3,0.2,0.2,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.000304271361370925,0.000304271361370925
18003,"ACETAMIPRID",2011,18,3,0.6,0.6,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.000912814084112775,0.000912814084112775
18003,"IMIDACLOPRID",2007,18,3,279.6,246,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.374253774486238,0.425371363196553
18003,"IMIDACLOPRID",2003,18,3,0.5,0.5,"IN",450402,"Allen County",355329,152184,1702419942,7028819,657.308,2.714,41.091855,-85.07223,0.000760678403427313,0.000760678403427313
