COMPOUND,ChemClassPAN,UseTypePAN,yr_by_county_use,total_kg,years_used,counties_used
POTASSIUM OLEATE,Soap,Adjuvant,2688,9099827.8,21,128
BORDEAUX MIXTURE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",2585,346313,21,128
COPPER SULF TRIBASIC,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",1139,588.4,21,121
COPPER SULFATE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",1143,3340.6,21,127
METHYL ISOTHIOCYANATE,Unclassified,"Breakdown product, Fumigant, Herbicide, Insecticide, Nematicide",2096,193196.7,21,127
THIFENSULFURON,Sulfonylurea,"Breakdown product, Herbicide",2,2.3,1,2
TCA,Unclassified,"Breakdown product, Herbicide",1099,2507.3,10,124
NAPTHA,Unknown,"Chemical intermediate, Dye, Insect Repellent, Insecticide",2432,18569278.9,19,128
DINOSEB,Dinitrophenol derivative,"Defoliant, Herbicide",143,95,11,25
SODIUM CHLORATE,Inorganic,"Defoliant, Herbicide, Microbiocide",2106,336521.9,21,118
CALCIUM CHLORIDE,Inorganic,"Dessicant, Fungicide, Herbicide, Insecticide, Microbiocide, Molluscicide, Plant Growth Regulator, Preservative ",2654,12659403.2,21,128
CHINOMETHIONAT,Unclassified,"Fumigant, Fungicide, Insecticide",190,29946.1,19,25
METAM,Dithiocarbamate-MITC,"Fumigant, Fungicide, Microbiocide, Algaecide, Nematicide",62,12120.1,2,62
TETRATHIOCARBONATE,Inorganic,"Fumigant, Fungicide, Nematicide",833,15322.4,7,124
METHYL BROMIDE,Halogenated organic,"Fumigant, Insecticide, Herbicide, Nematicide",167,1476.9,6,78
DICHLOROPROPENE,Halogenated organic,"Fumigant, Nematicide",16,21,1,16
CHLOROPICRIN,Inorganic,"Fumigant, Nematicide",58,11549,1,58
FLUAZINAM,"2,6-Dinitroaniline",Fungicide,199,16542.2,4,78
PENTHIOPYRAD,"Amide, Pyrazole",Fungicide,2688,45236779.2,21,128
FLUOPYRAM,"Amide, Pyridine",Fungicide,918,353.7,16,118
BOSCALID,Anilide,Fungicide,124,638.8,7,88
FENHEXAMID,Anilide,Fungicide,2604,253321.2,21,128
FLUTOLANIL,Anilide,Fungicide,1895,190740.1,16,128
FLUXAPYROXAD,"Anilide, Pyrazole",Fungicide,24,5.1,3,23
CYAZOFAMID,Azole,Fungicide,174,664.7,8,75
CYPROCONAZOLE,Azole,Fungicide,1609,30093.9,21,127
DIFENOCONAZOLE,Azole,Fungicide,72,2124,3,72
ETRIDIAZOLE,Azole,Fungicide,2,0.2,1,2
FENBUCONAZOLE,Azole,Fungicide,191,7102,13,27
FLUSILAZOLE,Azole,Fungicide,1783,65145.7,17,128
IMAZALIL,Azole,Fungicide,1721,73382.8,20,115
METCONAZOLE,Azole,Fungicide,2609,2048776,21,128
MYCLOBUTANIL,Azole,Fungicide,166,363.7,7,100
PROPICONAZOLE,Azole,Fungicide,1706,80193,16,128
PROTHIOCONAZOLE,Azole,Fungicide,75,273.7,1,75
TEBUCONAZOLE,Azole,Fungicide,787,5185.6,9,126
TETRACONAZOLE,Azole,Fungicide,86,543.2,3,62
TRIADIMEFON,Azole,Fungicide,2392,602871.9,21,128
TRIFLUMIZOLE,Azole,Fungicide,3,1.2,3,1
IPCONAZOLE,Azole,Fungicide,522,12747.7,16,40
BENOMYL,Benzimidazole,Fungicide,1206,2184933.2,13,128
THIABENDAZOLE,Benzimidazole,Fungicide,149,43871.4,3,85
THIOPHANATE-METHYL,Benzimidazole precursor,Fungicide,1130,182237.5,19,111
CARBOXIN,Carboxamide,Fungicide,33,471.9,1,33
FAMOXADONE,Dicarboximide,Fungicide,2644,1365545.4,21,128
IPRODIONE,Dicarboximide,Fungicide,2682,1171738.5,21,128
VINCLOZOLIN,Dicarboximide,Fungicide,2290,609191.4,19,128
THIRAM,Dithiocarbamate,Fungicide,481,15785.9,7,95
FERBAM,Dithiocarbamate-ETU,Fungicide,1250,8695.3,14,109
MANEB,Dithiocarbamate-ETU,Fungicide,185,348.7,9,73
MANCOZEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,528,185317.3,6,113
METIRAM,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,567,1127,5,125
ZINEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,1573,83434.1,18,128
POTASSIUM BICARBONATE,Inorganic,Fungicide,4,19.9,1,4
COPPER,Inorganic-Copper,Fungicide,259,71179.8,16,59
COPPER OXYCHLORIDE,Inorganic-Copper,Fungicide,2407,259280.9,21,123
COPPER OXYCHLORIDE S,Inorganic-Copper,Fungicide,734,917378.3,18,120
BACILLUS SUBTILIS,Microbial,Fungicide,2643,1624765.3,21,128
BURKHOLDERIA CEPACIA,Microbial,Fungicide,62,19724.3,3,62
CONIOTHYRIUM MINITANS,Microbial,Fungicide,2688,3937095,21,128
DIMETHOMORPH,Morpholine,Fungicide,526,6226.3,20,89
PROPAMOCARB HCL,Other Carbamate,Fungicide,2457,309741.5,21,125
CYPRODINIL,Pyrimidine,Fungicide,1618,3242.5,18,125
FENARIMOL,Pyrimidine,Fungicide,2571,762006.1,21,127
PYRIMETHANIL,Pyrimidine,Fungicide,2491,234442.3,21,128
QUINOXYFEN,Quinoline,Fungicide,1662,47359.7,15,121
AZOXYSTROBIN,Strobin,Fungicide,1137,237376.6,9,128
FLUOXASTROBIN,Strobin,Fungicide,5,2.7,3,2
KRESOXIM-METHYL,Strobin,Fungicide,435,14456.5,16,79
PYRACLOSTROBIN,Strobin,Fungicide,2631,686345,21,128
TRIFLOXYSTROBIN,Strobin,Fungicide,156,7111.9,7,96
CHLOROTHALONIL,Substituted Benzene,Fungicide,1882,64852.3,21,122
DICLORAN,Substituted Benzene,Fungicide,1,17.3,1,1
CAPTAFOL,Thiophthalimide,Fungicide,2565,274634.8,21,128
CAPTAN,Thiophthalimide,Fungicide,125,36256.9,8,35
ANILAZINE,Triazine,Fungicide,1608,6145781.3,15,128
ACIBENZOLAR,Unclassified,Fungicide,318,1169.8,7,78
CYMOXANIL,Unclassified,Fungicide,209,61034.8,16,38
FLUDIOXONIL,Unclassified,Fungicide,100,23.3,5,44
METRAFENONE,Unclassified,Fungicide,2195,34659.6,19,128
DICHLONE,Unknown,Fungicide,771,5421.4,9,123
FLUOPICOLIDE,Unknown,Fungicide,2245,104503.2,18,128
FOSETYL,Unknown,Fungicide,1104,12518.1,18,126
MANDIPROPAMID,Unknown,Fungicide,167,7458.7,6,89
ZOXAMIDE,Unknown,Fungicide,202,27391.2,4,58
MEFENOXAM,Xylylalanine,Fungicide,1574,6703.8,14,126
METALAXYL,Xylylalanine,Fungicide,3,6.3,1,3
PHOSPHORIC ACID,Inorganic,"Fungicide, Herbicide, Microbiocide, pH Adjustment",14,17.3,6,7
DINOCAP,Dinitrophenol derivative,"Fungicide, Insecticide",1040,54482.6,20,118
BARIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",757,95948.5,21,99
CALCIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",394,4144.7,7,104
SULFUR,Inorganic,"Fungicide, Insecticide",2,60,1,2
TRIFORINE,Unclassified,"Fungicide, Insecticide",221,5443.9,16,43
OXYTETRACYCLINE,Antibiotic,"Fungicide, Microbiocide",2385,137088.8,21,128
KASUGAMYCIN,Antibiotic,"Fungicide, Microbiocide",2686,2192175.6,21,128
DODINE,Guanidine,"Fungicide, Microbiocide",578,14245.4,13,121
ZIRAM,"Dithiocarbamate, Inorganic-Zinc","Fungicide, Microbiocide, Dog and Cat Repellent",90,2124,2,45
COPPER HYDROXIDE,Inorganic-Copper,"Fungicide, Microbiocide, Nematicide",466,1656128.3,17,121
FENTIN,"Organotin, Heavy metal","Fungicide, Molluscicide, Herbicide",1228,175551.7,18,128
QUINTOZENE,Substituted Benzene,"Fungicide, Nematicide, Algaecide",249,22109.2,17,83
HARPIN PROTEIN,Microbial,"Fungicide, Nematicide, Plant Growth Regulator",85,876,2,48
BENFLURALIN,"2,6-Dinitroaniline",Herbicide,885,11214.3,17,120
BUTRALIN,"2,6-Dinitroaniline",Herbicide,41,297.6,2,37
ETHALFLURALIN,"2,6-Dinitroaniline",Herbicide,11,62.7,1,11
ISOPROPALIN,"2,6-Dinitroaniline",Herbicide,102,13136.5,5,58
ORYZALIN,"2,6-Dinitroaniline",Herbicide,484,3060.7,5,124
PENDIMETHALIN,"2,6-Dinitroaniline",Herbicide,51,755.4,2,49
TRIFLURALIN,"2,6-Dinitroaniline",Herbicide,1719,44023.2,14,127
DCPA,Alkyl Phthalate,Herbicide,2520,3026954.8,20,128
DIMETHENAMID,Amide,Herbicide,1365,621718.7,13,128
DIMETHENAMID-P,Amide,Herbicide,2605,546961.4,21,128
DIPHENAMID,Amide,Herbicide,612,2978,15,110
NAPROPAMIDE,Amide,Herbicide,64,235.8,2,64
NAPTALAM,Amide,Herbicide,16,91.5,1,16
PROPYZAMIDE,Amide,Herbicide,38,188.1,4,35
SAFLUFENACIL,Amide,Herbicide,117,2333.9,3,66
