"Acibenzolar-S-methyl",P1: benzo-thiadiazole BTH,P,benzo-thiadiazole BTH
Aldimorph,"G2: Amines (morpholines) SBI Class II",5,morpholine
Ametoctradin,C8: QxI,45,triazolo-pyrimidylamine
Amisulbrom,C4: QiI,21,sulfamoyl-triazole
Anilazine,Multi-site: triazine,M8,triazine
Azaconazole,G1: DMI (SBI class 1),3,triazole
Azoxystrobin,C3: QoI,11,methoxy-acrylates
"Bacillus subtilis strain QST713",F6:  Microbial,44,"microbial disrupters of pathogen cell membranes"
"Bacillus subtilis strain FZB24",F6:  Microbial,44,"microbial disrupters of pathogen cell membranes"
Benalaxyl,A1: Phenylamide,4,acylalanine
"Benalaxyl-M (kiralaxyl)",A1: Phenylamide,4,acylalanine
Benodanil,C2: SDHI,7,phenyl-benzamide
Benomyl,B1: MBC,1,benzimidazole
Benthiavalicarb,F5: CAA fungicides,40,valinamide carbamates
Binapacryl,C5,29,dinitrophenyl crotonate
Biphenyl,F3: AH fungicides,14,aromatic hydrocarbons
Bitertanol,G1: DMI (SBI class 1),3,triazole
Bixafen,C2: SDHI,7,Pyrazole-carboxamide
Blasticidin-S,"D2: enopyranuronic acid antibiotic",23,enopyranuronic acid antibiotic
Boscalid,C2: SDHI,7,pyridine-carboxamide
Bromuconazole,G1: DMI (SBI class 1),3,triazole
Bupirimate,"A2: Hydroxy-(2-amino) pyrimidine",8,hydroxy-(2-amino) pyrimidine
Captafol,Multi-site: phthalimide,M4,phthalimide
Captan,Multi-site: phthalimide,M4,phthalimide
Carbendazim,B1: MBC,1,benzimidazole
Carboxin,C2: SDHI,7,oxathiin-carboxamide
Carpropamid,I2: MBI-D,16.2,cyclopropane carboxamide
Chloroneb,F3: AH fungicides,14,aromatic hydrocarbons
Chlorothalonil,"Multi-site: chloronitrile (phthalonitrile)",M5,chloronitrile (phthalonitrile)
Chlozolinate,E3: dicarboximide,2,dicarboximide
"Copper (different salts)",Multi-site,M1,inorganic
Coumoxystrobin,C3: QoI,11,Methoxy-acrylate
Cyazofamid,C4: QiI,21,cyano-imidazole
Cyflufenamid,Unknown: phenyl-acetamide,U6,phenyl-acetamide
Cymoxanil,"Unknown: Cyanoacetamide-oxime",27,cyanoacetamide-oxime
Cyproconazole,G1: DMI (SBI class 1),3,triazole
Cyprodinil,D1: AP fungicides,9,anilino-pyrimidine
Dichlofluanid,Multi-site: sulfamide,M6,sulfamide
Diclocymet,I2: MBI-D,16.2,carboxamide
Diclomezine,Unknown: pyridazinone,37,pyridazinone
Dicloran,F3: AH fungicides,14,aromatic hydrocarbons
Diethofencarb,B2: N-phenyl carbamate,10,N-phenyl carbamate
Difenoconazole,G1: DMI (SBI class 1),3,triazole
Diflumetorim,C1: pyridinamine,39,pyridinamine
Dimethomorph,F5: CAA fungicides,40,cinnamic acid amide
Dimethyrimol,"A2: Hydroxy-(2-amino) pyrimidine",8,hydroxy-(2-amino) pyrimidine
Dimoxystrobin,C3: QoI,11,oximino-acetamide
Diniconazole,G1: DMI (SBI class 1),3,triazole
Dinocap,C5,29,dinitrophenyl crotonate
Dithianon,"Multi-site: quinone (anthraquinone)",M9,quinone (anthraquinone)
Dodemorph,"G2: Amines (morpholines) SBI Class II",5,morpholine
Dodine,U12: Unknown,U12,guanidine
Edifenphos,F2: phosphorothiolates,6,phosphorothiolates
Enoxastrobin,C3: QoI,11,methoxy-acrylates
Epoxiconazole,G1: DMI (SBI class 1),3,triazole
Etaconazole,G1: DMI (SBI class 1),3,triazole
Ethaboxam,"Unknown: thiazole carboxamide",U5,ethylamino-thiazole carboxamide
Ethirimol,"A2: Hydroxy-(2-amino) pyrimidine",8,hydroxy-(2-amino) pyrimidine
Etridiazole,F3: AH fungicides,14,"1,2,4 thiadiazole"
"Extract from Melaleuca alternifolia (tea tree)","F7: plant extract, membrane disruption (proposed)",46,"terpene hydrocarbons and terpene alcohols"
"Extract from Reynoutria sachalinensis (giant knotweed)",P5: plant extract,P,"complex mixture, ethanol extract"
Famoxadone,C3: QoI,11,oxazolidine-dione
Fenamidone,C3: QoI,11,imidazolinone
Fenarimol,G1: DMI (SBI class 1),3,pyrimidine
Fenbuconazole,G1: DMI (SBI class 1),3,triazole
Fenfuram,C2: SDHI,7,furan-carboxamide
Fenhexamid,"G3: hydroxyanilide (SBI Class III)",17,hydroxyanilide
Fenoxanil,I2: MBI-D,16.2,propionamide
Fenpiclonil,E2: PP fungicides,12,phenylpyrrole
Fenpropidin,"G2: Amines (morpholines) SBI Class II",5,piperidine
Fenpropimorph,"G2: Amines (morpholines) SBI Class II",5,morpholine
Fentin acetate,C6: organo tin,30,tri-phenyl tin
Fentin chloride,C6: organo tin,30,tri-phenyl tin
Fentin hydroxide,C6: organo tin,30,tri-phenyl tin
Ferbam,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Ferimzone,unknown,U14,Pyrimidinone hydrazones
Fluazinam,C5,29,2-6-dinitro anilines
Fludioxonil,E2: PP fungicides,12,phenylpyrrole
Flufenoxystrobin,C3: QoI,11,methoxy-acrylate
Flumorph,F5: CAA fungicides,40,cinnamic acid amide
Fluopicolide,B5: benzamide,43,pyridinylmethyl-benzamide
Fluoxastrobin,C3: QoI,11,dihydro-dioxazine
Fluquinconazole,G1: DMI (SBI class 1),3,triazole
Flusilazole,G1: DMI (SBI class 1),3,triazole
Flusulfamide,"Unknown: benzene-sulfonamide",36,benzene-sulfonamide
Flutolanil,C2: SDHI,7,phenyl-benzamide
