COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
SPINETORAM,Spinosyn,Insecticide,5,IRAC,Macrocyclic Lactone
ABAMECTIN,"Botanical , Macrocyclic Lactone",Insecticide,6,IRAC,Macrocyclic Lactone
EMAMECTIN,Macrocyclic Lactone,Insecticide,6,IRAC,Macrocyclic Lactone
CHLORFENAPYR,Pyrazole,Insecticide,13,IRAC,Pyrrole
DIFLUBENZURON,Benzoylurea,"Insect Growth Regulator, Insecticide",15,IRAC,Insect Growth Regulator
CYROMAZINE,Triazine,"Insect Growth Regulator, Insecticide",17,IRAC,Insect Growth Regulator
METHOXYFENOZIDE,Diacylhydrazine,Insecticide,18,IRAC,Insect Growth Regulator
TEBUFENOZIDE,Diacylhydrazine,Insecticide,18,IRAC,Insect Growth Regulator
AMITRAZ,Formamidine,Insecticide,19,IRAC,Formamidine
SPIRODICLOFEN,Keto-enol,Insecticide,23,IRAC,Tetronic Acid
SPIROTETRAMAT,Keto-enol,Insecticide,23,IRAC,Tetramic Acid
CHLORANTRANILIPROLE,Anthranilic diamide,Insecticide,28,IRAC,Diamide
FLUBENDIAMIDE,Anthranilic diamide,Insecticide,28,IRAC,Diamide
CLOFENTEZINE,Tetrazine,Insecticide,10A,IRAC,Tetrazine
ETOXAZOLE,Unclassified,Insecticide,10B,IRAC,Unclassified
BACILLUS THURINGIENSIS,Microbial,Insecticide,11A,IRAC,Unclassified
FENBUTATIN OXIDE,"Organotin, Heavy metal",Insecticide,12B,IRAC,Organotin
PROPARGITE,Unclassified,Insecticide,12C,IRAC,Sulfite Ester
BENDIOCARB,N-Methyl Carbamate,Insecticide,1A,IRAC,Carbamate
FORMETANATE,N-Methyl Carbamate,Insecticide,1A,IRAC,Formamidine
PROPOXUR,N-Methyl Carbamate,Insecticide,1A,IRAC,Carbamate
TRIAZAMATE,Unknown,Insecticide,1A,IRAC,Unclassified
METHOMYL,N-Methyl Carbamate,"Insecticide, Breakdown product",1A,IRAC,Carbamate
TRIMETHACARB,N-Methyl Carbamate,"Insecticide, Molluscicide, Dog and Cat Repellent",1A,IRAC,Carbamate
ALDICARB,N-Methyl Carbamate,"Insecticide, Nematicide",1A,IRAC,Carbamate
CARBOFURAN,N-Methyl Carbamate,"Insecticide, Nematicide",1A,IRAC,Carbamate
OXAMYL,N-Methyl Carbamate,"Insecticide, Nematicide",1A,IRAC,Carbamate
CARBARYL,N-Methyl Carbamate,"Insecticide, Nematicide, Plant Growth Regulator",1A,IRAC,Carbamate
THIODICARB,N-Methyl Carbamate,"Molluscicide, Insecticide",1A,IRAC,Carbamate
ACEPHATE,Organophosphorus,Insecticide,1B,IRAC,Organophosphorus
AZINPHOS-METHYL,Organophosphorus,Insecticide,1B,IRAC,Organophosphorus
CHLORETHOXYFOS,Organophosphorus,Insecticide,1B,IRAC,Organophosphorus
