COMPOUND,PANChemClass,PANUseType,TysonUseType,MOA,MOA_source,AlanWoodChemClass,yr_by_county_use,total_kg,years_used,counties_used
MEFENOXAM,Xylylalanine,Fungicide,Fungicide,A1,FRAC,Amide,1813,36213,16,128
METALAXYL,Xylylalanine,Fungicide,Fungicide,A1,FRAC,Amide,1620,111640,16,128
BENOMYL,Benzimidazole,Fungicide,Fungicide,B1,FRAC,"Benzimidazole, Carbamate",1783,65146,17,128
THIABENDAZOLE,Benzimidazole,Fungicide,Fungicide,B1,FRAC,"Thiazole, Benzimidazole",2,105,1,2
THIOPHANATE-METHYL,Benzimidazole precursor,Fungicide,Fungicide,B1,FRAC,"Carbamate, Benzimidazole precursor",2618,105737,21,128
ZOXAMIDE,Unknown,Fungicide,Fungicide,B3,FRAC,Amide,302,1731,12,75
FLUOPICOLIDE,Unknown,Fungicide,Fungicide,B5,FRAC,Amide,210,841,5,108
PENTHIOPYRAD,"Amide, Pyrazole",Fungicide,Fungicide,C2,FRAC,"Amide, Pyrazole",14,25,1,14
BOSCALID,Anilide,Fungicide,Fungicide,C2,FRAC,"Amide, Pyridine",787,5186,9,126
FLUTOLANIL,Anilide,Fungicide,Fungicide,C2,FRAC,Amide,16,613,5,5
CARBOXIN,Carboxamide,Fungicide,Fungicide,C2,FRAC,"Amide, Oxathiin",481,15786,7,95
FAMOXADONE,Dicarboximide,Fungicide,Fungicide,C3,FRAC,"Oxazole, Dicarboximide",881,7800,9,126
AZOXYSTROBIN,Strobin,Fungicide,Fungicide,C3,FRAC,Antibiotic,1895,190740,16,128
FLUOXASTROBIN,Strobin,Fungicide,Fungicide,C3,FRAC,Antibiotic,119,9367,2,81
KRESOXIM-METHYL,Strobin,Fungicide,Fungicide,C3,FRAC,Antibiotic,1336,9007,14,124
PYRACLOSTROBIN,Strobin,Fungicide,Fungicide,C3,FRAC,Antibiotic,1251,211683,10,128
TRIFLOXYSTROBIN,Strobin,Fungicide,Fungicide,C3,FRAC,Antibiotic,1571,53321,13,128
CYAZOFAMID,Azole,Fungicide,Fungicide,C4,FRAC,"Amide, imidazole",318,1170,7,78
FLUAZINAM,"2,6-Dinitroaniline",Fungicide,Fungicide,C5,FRAC,Pyridine,57,894,6,18
DINOCAP,Dinitrophenol derivative,"Fungicide, Insecticide",Fungicide,C5,FRAC,Dinitrophenol,64,236,2,64
FENTIN,"Organotin, Heavy metal","Fungicide, Molluscicide, Herbicide",Fungicide,C6,FRAC,Organotin,679,13351,21,60
CYPRODINIL,Pyrimidine,Fungicide,Fungicide,D1,FRAC,Pyrimidine,1574,6704,14,126
PYRIMETHANIL,Pyrimidine,Fungicide,Fungicide,D1,FRAC,Pyrimidine,674,5487,8,112
KASUGAMYCIN,Antibiotic,"Fungicide, Microbiocide",Fungicide,D3,FRAC,Antibiotic,15,4,1,15
OXYTETRACYCLINE,Antibiotic,"Fungicide, Microbiocide",Fungicide,D5,FRAC,Bactericides,100,99,13,24
QUINOXYFEN,Quinoline,Fungicide,Fungicide,E1,FRAC,Quinoline,315,1882,9,96
FLUDIOXONIL,Unclassified,Fungicide,Fungicide,E2,FRAC,Pyrrole,1001,9087,11,118
IPRODIONE,Dicarboximide,Fungicide,Fungicide,E3,FRAC,"Dicarboximide, Imidazole",830,25688,21,117
VINCLOZOLIN,Dicarboximide,Fungicide,Fungicide,E3,FRAC,"Oxazole, Dicarboximide",626,6270,13,97
ETRIDIAZOLE,Azole,Fungicide,Fungicide,F3,FRAC,Thiadiazole,56,5635,2,56
DICLORAN,Substituted Benzene,Fungicide,Fungicide,F3,FRAC,Aromatic,85,876,2,48
QUINTOZENE,Substituted Benzene,"Fungicide, Nematicide, Algaecide",Fungicide,F3,FRAC,Aromatic,359,33301,16,107
PROPAMOCARB HCL,Other Carbamate,Fungicide,Fungicide,F4,FRAC,Carbamate,693,26681,16,110
DIMETHOMORPH,Morpholine,Fungicide,Fungicide,F5,FRAC,Morpholine,612,2978,15,110
MANDIPROPAMID,Unknown,Fungicide,Fungicide,F5,FRAC,Amide,235,1432,5,92
BACILLUS SUBTILIS,Microbial,Fungicide,Fungicide,F6,FRAC,NA,174,665,8,75
CYPROCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",202,27391,4,58
DIFENOCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",484,3061,5,124
FENBUCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",1086,4176,18,115
FLUSILAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",74,4344,2,44
IMAZALIL,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, Imidazole",129,146,2,78
IPCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",267,480,3,104
METCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",383,11656,5,121
MYCLOBUTANIL,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",2595,34206,21,127
PROPICONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",2597,225507,21,128
PROTHIOCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",528,30794,6,118
TEBUCONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",1155,58977,16,121
TETRACONAZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",743,35318,14,111
TRIADIMEFON,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, triazole",1619,21032,18,127
TRIFLUMIZOLE,Azole,Fungicide,Fungicide,G1,FRAC,"Conazole, Imidazole",603,6684,15,113
FENARIMOL,Pyrimidine,Fungicide,Fungicide,G1,FRAC,Pyrimidine,2406,10839,21,124
TRIFORINE,Unclassified,"Fungicide, Insecticide",Fungicide,G1,FRAC,Amide,381,1524,6,116
FENHEXAMID,Anilide,Fungicide,Fungicide,G3,FRAC,Amide,663,8156,13,92
THIRAM,Dithiocarbamate,Fungicide,Fungicide,Multi-site,FRAC,Dithiocarbamate,1441,79233,21,128
