COMPOUND,Chemical Class,Use Type,yr_by_county_use,total_kg,years_used,counties_used
BENDIOCARB,N-Methyl Carbamate,Insecticide,2,0.2,1,2
STEINERNEMA CARPOCAP,Beneficial insect,Insecticide,2,0.6,1,2
BURKHOLDERIA CEPACIA,Microbial,Fungicide,3,1.2,3,1
GENTAMICIN SULFATE,Antibiotic,Unknown,2,1.4,1,2
FLUVALINATE-TAU,Pyrethroid,Insecticide,6,2.2,1,6
ACEQUINOCYL,Unclassified,Insecticide,2,2.3,1,2
TRIAZAMATE,Unknown,Insecticide,2,2.6,1,2
CONIOTHYRIUM MINITANS,Microbial,Fungicide,5,2.7,3,2
HYDRAMETHYLNON,Unclassified,Insecticide,30,4,1,30
TETRABOROHYDRATE,Inorganic,Unknown,24,4.1,1,24
KASUGAMYCIN,Antibiotic,"Fungicide, Microbiocide",15,4.2,1,15
TCA,Unclassified,"Breakdown product, Herbicide",2,5,1,2
BACILLUS PUMILIS,NA,NA,24,5.1,3,23
CYROMAZINE,Triazine,"Insect Growth Regulator, Insecticide",3,6.3,1,3
INDOLYL-BUTYRIC ACID,Botanical,Plant Growth Regulator,5,10.7,3,2
EMAMECTIN,Macrocyclic Lactone,Insecticide,52,14.2,8,25
FENPYROXIMATE,Pyrazole,Insecticide,47,14.6,9,20
PYRAFLUFEN ETHYL,Pyrazolylphenyl,Herbicide,13,15,2,13
CYTOKININ,Botanical,Plant Growth Regulator,14,17.3,6,7
COPPER SULF TRIBASIC,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",1,17.3,1,1
CHLORFENAPYR,Pyrazole,Insecticide,4,19.9,1,4
AMITROLE,Unclassified,Herbicide,16,21,1,16
PINOLENE,Unclassified,Insect Growth Regulator,2,21.5,1,2
FLUOPYRAM,"Amide, Pyridine",Fungicide,27,23.1,1,27
CYDIA POMONELLA,Insect virus,Insect Growth Regulator,100,23.3,5,44
PENTHIOPYRAD,"Amide, Pyrazole",Fungicide,14,24.6,1,14
ZINC,Inorganic-Zinc,Herbicide,10,24.7,4,7
HARPIN PROTEIN,Microbial,"Fungicide, Nematicide, Plant Growth Regulator",50,31.2,4,48
GARLIC JUICE,Botanical,Insecticide,4,33.3,2,2
INDAZIFLAM,Triazine,Herbicide,47,38.6,1,47
SULPROFOS,Organophosphorus,Insecticide,11,46.9,1,11
DEMETON,Organophosphorus,"Insecticide, Nematicide",2,60,1,2
DIENOCHLOR,Organochlorine,Insecticide,11,62.7,1,11
NORURON,Urea,Herbicide,4,68.8,1,4
METRAFENONE,Unclassified,Fungicide,2,73.4,1,2
DINOSEB,Dinitrophenol derivative,"Defoliant, Herbicide",16,91.5,1,16
FLONICAMID,Unclassified,Insecticide,97,94.4,3,67
ACIBENZOLAR,Unclassified,Fungicide,143,95,11,25
OXYTETRACYCLINE,Antibiotic,"Fungicide, Microbiocide",100,99,13,24
THIABENDAZOLE,Benzimidazole,Fungicide,2,104.9,1,2
MCPB,Chlorophenoxy acid or ester,Herbicide,22,122.3,8,4
NAPHTHYLACETAMIDE,"Botanical, Naphthalene acetic acid derivative",Plant Growth Regulator,363,130.8,11,110
PYRETHRINS,"Botanical, Pyrethroid",Insecticide,196,133.6,18,68
IMAZALIL,Azole,Fungicide,129,146.2,2,78
FLUBENDIAMIDE,Anthranilic diamide,Insecticide,110,147.7,4,101
ISOXABEN,"Amide, Oxazole",Herbicide,85,169.2,4,69
TRINEXAPAC,Unclassified,"Herbicide, Plant Growth Regulator",20,180.3,1,20
DINOTEFURAN,"Guanidine , Neonicotinoid",Insecticide,38,188.1,4,35
SPIROTETRAMAT,Keto-enol,Insecticide,137,190.2,4,67
PROPYZAMIDE,Amide,Herbicide,17,211.7,3,16
DINOCAP,Dinitrophenol derivative,"Fungicide, Insecticide",64,235.8,2,64
TRALKOXYDIM,Cyclohexenone derivative,Herbicide,59,238.5,2,59
TRIFLUSULFURON,Sulfonylurea,Herbicide,135,272.4,12,12
BORDEAUX MIXTURE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",75,273.7,1,75
SULFOSULFURON,Sulfonylurea,Herbicide,47,294,1,47
DICROTOPHOS,Organophosphorus,Insecticide,41,297.6,2,37
FLUOMETURON,Urea,Herbicide,19,306.9,2,19
GIBBERELLIC ACID,Botanical,Plant Growth Regulator,975,337.4,21,119
TEBUFENOZIDE,Diacylhydrazine,Insecticide,166,340.7,7,81
MEPIQUAT,Quaternary Ammonium Compound,Plant Growth Regulator,97,347.3,12,78
CHINOMETHIONAT,Unclassified,"Fumigant, Fungicide, Insecticide",185,348.7,9,73
MESOSULFURON,Sulfonylurea,Herbicide,79,351.3,5,19
AVIGLYCINE,Unknown,Plant Growth Regulator,918,353.7,16,118
BIFENAZATE,Unclassified,Insecticide,166,363.7,7,100
NAPTHA,Unknown,"Chemical intermediate, Dye, Insect Repellent, Insecticide",17,374.2,1,17
PINOXADEN,Unknown,Herbicide,56,384.5,5,19
MEVINPHOS,Organophosphorus,Insecticide,63,452.7,4,21
CAPTAFOL,Thiophthalimide,Fungicide,33,471.9,1,33
IPCONAZOLE,Azole,Fungicide,267,479.8,3,104
