"COMPOUND","PANChemClass","PANUseType","TysonUseType","MOA","MOA_source","AlanWoodChemClass","yr_by_county_use","total_kg","years_used","counties_used","BroadMOA","MOAuse"
"SPINETORAM","Spinosyn","Insecticide","Insecticide","5","IRAC","Macrocyclic Lactone",567,1390,5,123,"5","ins_5"
"ABAMECTIN","Botanical , Macrocyclic Lactone","Insecticide","Insecticide","6","IRAC","Macrocyclic Lactone",1143,3341,21,127,"6","ins_6"
"EMAMECTIN","Macrocyclic Lactone","Insecticide","Insecticide","6","IRAC","Macrocyclic Lactone",52,14,8,25,"6","ins_6"
"CHLORFENAPYR","Pyrazole","Insecticide","Insecticide","13","IRAC","Pyrrole",4,20,1,4,"13","ins_13"
"DIFLUBENZURON","Benzoylurea","Insect Growth Regulator, Insecticide","Insecticide","15","IRAC","Insect Growth Regulator",51,755,2,49,"15","ins_15"
"CYROMAZINE","Triazine","Insect Growth Regulator, Insecticide","Insecticide","17","IRAC","Insect Growth Regulator",3,6,1,3,"17","ins_17"
"METHOXYFENOZIDE","Diacylhydrazine","Insecticide","Insecticide","18","IRAC","Insect Growth Regulator",415,1613,11,70,"18","ins_18"
"TEBUFENOZIDE","Diacylhydrazine","Insecticide","Insecticide","18","IRAC","Insect Growth Regulator",166,341,7,81,"18","ins_18"
"AMITRAZ","Formamidine","Insecticide","Insecticide","19","IRAC","Formamidine",167,1477,6,78,"19","ins_19"
"SPIRODICLOFEN","Keto-enol","Insecticide","Insecticide","23","IRAC","Tetronic Acid",472,908,8,104,"23","ins_23"
"SPIROTETRAMAT","Keto-enol","Insecticide","Insecticide","23","IRAC","Tetramic Acid",137,190,4,67,"23","ins_23"
"CHLORANTRANILIPROLE","Anthranilic diamide","Insecticide","Insecticide","28","IRAC","Diamide",567,1127,5,125,"28","ins_28"
"FLUBENDIAMIDE","Anthranilic diamide","Insecticide","Insecticide","28","IRAC","Diamide",110,148,4,101,"28","ins_28"
"CLOFENTEZINE","Tetrazine","Insecticide","Insecticide","10A","IRAC","Tetrazine",1618,3243,18,125,"10","ins_10"
"ETOXAZOLE","Unclassified","Insecticide","Insecticide","10B","IRAC","Unclassified",435,486,9,89,"10","ins_10"
"BACILLUS THURINGIENSIS","Microbial","Insecticide","Insecticide","11A","IRAC","Unclassified",1609,30094,21,127,"11","ins_11"
"FENBUTATIN OXIDE","Organotin, Heavy metal","Insecticide","Insecticide","12B","IRAC","Organotin",430,5940,10,103,"12","ins_12"
"PROPARGITE","Unclassified","Insecticide","Insecticide","12C","IRAC","Sulfite Ester",749,43543,9,126,"12","ins_12"
"ALDICARB","N-Methyl Carbamate","Insecticide, Nematicide","Insecticide","1A","IRAC","Carbamate",190,29946,19,25,"1","ins_1"
"BENDIOCARB","N-Methyl Carbamate","Insecticide","Insecticide","1A","IRAC","Carbamate",2,0,1,2,"1","ins_1"
"CARBARYL","N-Methyl Carbamate","Insecticide, Nematicide, Plant Growth Regulator","Insecticide","1A","IRAC","Carbamate",2682,1171740,21,128,"1","ins_1"
"CARBOFURAN","N-Methyl Carbamate","Insecticide, Nematicide","Insecticide","1A","IRAC","Carbamate",2290,609191,19,128,"1","ins_1"
"FORMETANATE","N-Methyl Carbamate","Insecticide","Insecticide","1A","IRAC","Formamidine",669,8190,14,116,"1","ins_1"
"METHOMYL","N-Methyl Carbamate","Insecticide, Breakdown product","Insecticide","1A","IRAC","Carbamate",2533,117264,21,128,"1","ins_1"
"OXAMYL","N-Methyl Carbamate","Insecticide, Nematicide","Insecticide","1A","IRAC","Carbamate",1689,52600,21,124,"1","ins_1"
"PROPOXUR","N-Methyl Carbamate","Insecticide","Insecticide","1A","IRAC","Carbamate",14,481,1,14,"1","ins_1"
"THIODICARB","N-Methyl Carbamate","Molluscicide, Insecticide","Insecticide","1A","IRAC","Carbamate",2163,268700,21,124,"1","ins_1"
"TRIMETHACARB","N-Methyl Carbamate","Insecticide, Molluscicide, Dog and Cat Repellent","Insecticide","1A","IRAC","Carbamate",148,15790,4,44,"1","ins_1"
"TRIAZAMATE","Unknown","Insecticide","Insecticide","1A","IRAC","Unclassified",2,3,1,2,"1","ins_1"
"ACEPHATE","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2096,193197,21,127,"1","ins_1"
"AZINPHOS-METHYL","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2604,253321,21,128,"1","ins_1"
"CHLORETHOXYFOS","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",1573,83434,18,128,"1","ins_1"
"CHLORPYRIFOS","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",2688,3937100,21,128,"1","ins_1"
"DEMETON","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",2,60,1,2,"1","ins_1"
"DIAZINON","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2385,137089,21,128,"1","ins_1"
"DICROTOPHOS","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",41,298,2,37,"1","ins_1"
"DIMETHOATE","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2605,546961,21,128,"1","ins_1"
"DISULFOTON","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",1277,117915,16,116,"1","ins_1"
"ETHOPROPHOS","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",540,40935,19,100,"1","ins_1"
"FENAMIPHOS","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",146,4601,12,57,"1","ins_1"
"MALATHION","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2243,336257,21,128,"1","ins_1"
"METHAMIDOPHOS","Organophosphorus","Insecticide, Breakdown product","Insecticide","1B","IRAC","Organophosphorus",809,56513,19,107,"1","ins_1"
"METHIDATHION","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",245,770,7,102,"1","ins_1"
