GEOID,STATE_FIPS_CODE,COUNTY_FIPS_CODE,COMPOUND,YEAR,KG,State,County.Name,ANSI.class,USPS,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
39001,39,1,CARBOFURAN,2007,218.1,OH,Adams County,H1,OH,1074014,Adams County,28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173
39003,39,3,CARBOFURAN,2007,274.5,OH,Allen County,H1,OH,1074015,Allen County,106331,44999,1042458893,11275149,402.496,4.353,40.771528,-84.106546
39005,39,5,CARBOFURAN,2007,235.9,OH,Ashland County,H1,OH,1074016,Ashland County,53139,22141,1095434931,9969455,422.95,3.849,40.843274,-82.270121
39007,39,7,CARBOFURAN,2007,155.6,OH,Ashtabula County,H1,OH,1074017,Ashtabula County,101497,46099,1817993244,1724857052,701.931,665.971,41.906644,-80.745641
39011,39,11,CARBOFURAN,2007,258,OH,Auglaize County,H1,OH,1074019,Auglaize County,45949,19585,1039585234,1345187,401.386,0.519,40.561309,-84.224018
39013,39,13,CARBOFURAN,2007,1.9,OH,Belmont County,H1,OH,1065575,Belmont County,70400,32452,1378206525,23685679,532.129,9.145,40.017682,-80.967727
39015,39,15,CARBOFURAN,2007,161.7,OH,Brown County,H1,OH,1074020,Brown County,44846,19301,1269135535,8898059,490.016,3.436,38.931377,-83.866772
39017,39,17,CARBOFURAN,2007,252.3,OH,Butler County,H1,OH,1074021,Butler County,368130,148273,1209668470,7968185,467.056,3.077,39.439915,-84.565397
39019,39,19,CARBOFURAN,2007,1.5,OH,Carroll County,H1,OH,1074022,Carroll County,28836,13698,1022032078,11192671,394.609,4.322,40.579884,-81.090787
39021,39,21,CARBOFURAN,2007,330.9,OH,Champaign County,H1,OH,1074023,Champaign County,40097,16755,1110247425,3015688,428.669,1.164,40.132759,-83.767542
39023,39,23,CARBOFURAN,2007,278,OH,Clark County,H1,OH,1074024,Clark County,138333,61419,1029450254,13089442,397.473,5.054,39.917032,-83.783676
39025,39,25,CARBOFURAN,2007,72.9,OH,Clermont County,H1,OH,1074025,Clermont County,197363,80656,1170933540,19855695,452.1,7.666,39.052084,-84.149614
39027,39,27,CARBOFURAN,2007,188.3,OH,Clinton County,H1,OH,1074026,Clinton County,42040,18133,1058487805,9351104,408.684,3.61,39.414041,-83.814542
39029,39,29,CARBOFURAN,2007,159,OH,Columbiana County,H1,OH,1074027,Columbiana County,107841,47088,1377597314,7239848,531.893,2.795,40.768462,-80.777231
39031,39,31,CARBOFURAN,2007,3.7,OH,Coshocton County,H1,OH,1074028,Coshocton County,36901,16545,1460529028,9244955,563.913,3.569,40.29672,-81.930112
