"YEAR","RTENO","buffer","COMPOUND","high_kg_buff","low_kg_buff","ag_pix_buff"
1992,"66003","10000","GLYPHOSATE",NA,NA,NA
1992,"66003","10000","ATRAZINE",NA,NA,NA
1993,"66003","10000","GLYPHOSATE",NA,NA,NA
1993,"66003","10000","ATRAZINE",NA,NA,NA
1994,"66003","10000","GLYPHOSATE",NA,NA,NA
1994,"66003","10000","ATRAZINE",NA,NA,NA
1995,"66003","10000","IMIDACLOPRID",NA,NA,NA
1995,"66003","10000","ATRAZINE",NA,NA,NA
1995,"66003","10000","GLYPHOSATE",NA,NA,NA
1996,"66003","10000","IMIDACLOPRID",NA,NA,NA
1996,"66003","10000","GLYPHOSATE",NA,NA,NA
1996,"66003","10000","ATRAZINE",NA,NA,NA
1997,"66003","10000","ATRAZINE",NA,NA,NA
1997,"66003","10000","GLYPHOSATE",NA,NA,NA
1997,"66003","10000","IMIDACLOPRID",NA,NA,NA
1998,"66003","10000","ATRAZINE",NA,NA,NA
1998,"66003","10000","GLYPHOSATE",NA,NA,NA
1998,"66003","10000","FIPRONIL",NA,NA,NA
1998,"66003","10000","IMIDACLOPRID",NA,NA,NA
1999,"66003","10000","ATRAZINE",NA,NA,NA
1999,"66003","10000","GLYPHOSATE",NA,NA,NA
1999,"66003","10000","FIPRONIL",NA,NA,NA
1999,"66003","10000","IMIDACLOPRID",NA,NA,NA
2000,"66003","10000","FIPRONIL",NA,NA,NA
2000,"66003","10000","GLYPHOSATE",NA,NA,NA
2000,"66003","10000","ATRAZINE",NA,NA,NA
2000,"66003","10000","IMIDACLOPRID",NA,NA,NA
2001,"66003","10000","ATRAZINE",26464.4825115257,26462.4165907496,1207084
2001,"66003","10000","IMIDACLOPRID",1.0329657212382,NA,1207084
2001,"66003","10000","GLYPHOSATE",40799.7026606051,40722.4544949509,1207084
2001,"66003","10000","FIPRONIL",65.0384411148474,65.0384411148474,1207084
2002,"66003","10000","GLYPHOSATE",45111.6400452416,44961.673722739,1206677.2
2002,"66003","10000","ATRAZINE",22916.0298010282,22904.5171533193,1206677.2
2002,"66003","10000","IMIDACLOPRID",0.377029257261812,NA,1206677.2
2002,"66003","10000","FIPRONIL",192.389199351182,192.334871594802,1206677.2
2003,"66003","10000","ACETAMIPRID",0.581783333034834,NA,1206270.4
2003,"66003","10000","GLYPHOSATE",54403.5376094571,54303.952542194,1206270.4
2003,"66003","10000","FIPRONIL",45.1297199364122,NA,1206270.4
2003,"66003","10000","IMIDACLOPRID",0.783951880437157,NA,1206270.4
2003,"66003","10000","ATRAZINE",28247.2909977054,28247.29544472,1206270.4
2004,"66003","10000","THIAMETHOXAM",7.34788531253407,7.25723300316592,1205863.6
2004,"66003","10000","IMIDACLOPRID",95.7953828855266,NA,1205863.6
2004,"66003","10000","GLYPHOSATE",54345.7116421411,54030.8113269277,1205863.6
2004,"66003","10000","ACETAMIPRID",0.329902469868003,NA,1205863.6
2004,"66003","10000","FIPRONIL",63.5962032002977,NA,1205863.6
2004,"66003","10000","THIACLOPRID",1.32232738676346,NA,1205863.6
2004,"66003","10000","ATRAZINE",27420.1392744273,27420.1412890186,1205863.6
2004,"66003","10000","CLOTHIANIDIN",69.8995372470729,69.8995372470729,1205863.6
2005,"66003","10000","FIPRONIL",99.6796202329687,NA,1205456.8
2005,"66003","10000","IMIDACLOPRID",13.7597656627488,13.2499711477672,1205456.8
2005,"66003","10000","THIAMETHOXAM",75.2769725854805,75.1967172369455,1205456.8
2005,"66003","10000","ACETAMIPRID",3.63451657178026,NA,1205456.8
