Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,17,25.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,11,34.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,12,32.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,APPLES,APPLES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2,42.4
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,BERRY TOTALS - ACRES GROWN,TOTAL,NOT SPECIFIED,28,31.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,14,23
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12,24.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,"BERRY TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"82,000",20.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - ACRES GROWN",TOTAL,NOT SPECIFIED,3,36.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,5,36.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",TOTAL,NOT SPECIFIED,2,76.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,52.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,9,45.6
