SCIENTIFIC.NAME,cl_habitat,cl_food,cl_nest,cl_behav,cl_thrt
Coragyps atratus,open_woodland,carrion,cliff,soaring,lc
Vireo olivaceus,forest,insects,tree,foliage_gleaner,lc
Cathartes aura,open_woodland,carrion,cliff,soaring,lc
Icterus spurius,open_woodland,insects,tree,foliage_gleaner,lc
Certhia americana,forest,insects,tree,bark_forager,lc
Junco hyemalis,forest,seeds,ground,ground_forager,lc
Regulus satrapa,forest,insects,tree,foliage_gleaner,lc
Sitta canadensis,forest,insects,cavity,bark_forager,lc
Troglodytes hiemalis,forest,insects,cavity,ground_forager,lc
Setophaga coronata,forest,insects,tree,foliage_gleaner,lc
Gavia immer,lake_pond,fish,ground,surface_dive,lc
Ardea herodias,marsh,fish,tree,stalking,lc
Empidonax virescens,forest,insects,tree,flycatching,lc
Corvus brachyrhynchos,open_woodland,omnivore,tree,ground_forager,lc
Spinus tristis,open_woodland,seeds,shrub,foliage_gleaner,lc
Turdus migratorius,open_woodland,insects,tree,ground_forager,lc
Hirundo rustica,town,insects,building,aerial_forager,lc
Cyanocitta cristata,forest,omnivore,tree,ground_forager,lc
Polioptila caerulea,forest,insects,tree,foliage_gleaner,lc
Branta canadensis,marsh,seeds,ground,ground_forager,lc
Bombycilla cedrorum,open_woodland,fruit,tree,foliage_gleaner,lc
Setophaga cerulea,forest,insects,tree,foliage_gleaner,vu
Spizella passerina,open_woodland,seeds,shrub,ground_forager,lc
Quiscalus quiscula,open_woodland,omnivore,tree,ground_forager,lc
Picoides pubescens,forest,insects,cavity,bark_forager,lc
Sialia sialis,grassland,insects,cavity,ground_forager,lc
Pipilo erythrophthalmus,scrub,omnivore,ground,ground_forager,lc
Contopus virens,forest,insects,tree,flycatching,lc
Spizella pusilla,scrub,insects,ground,ground_forager,lc
Dumetella carolinensis,open_woodland,insects,shrub,ground_forager,lc
Troglodytes aedon,open_woodland,insects,cavity,foliage_gleaner,lc
Passerina cyanea,open_woodland,insects,shrub,foliage_gleaner,lc
Zenaida macroura,open_woodland,seeds,tree,ground_forager,lc
Cardinalis cardinalis,open_woodland,seeds,shrub,ground_forager,lc
Pheucticus ludovicianus,forest,insects,tree,foliage_gleaner,lc
Melospiza melodia,open_woodland,insects,shrub,ground_forager,lc
Piranga rubra,open_woodland,insects,tree,foliage_gleaner,lc
Baeolophus bicolor,forest,insects,cavity,foliage_gleaner,lc
Catharus fuscescens,forest,insects,ground,ground_forager,lc
Sitta carolinensis,forest,insects,cavity,bark_forager,lc
Hylocichla mustelina,forest,insects,tree,ground_forager,lc
Coccyzus americanus,open_woodland,insects,tree,foliage_gleaner,lc
Larus argentatus,NA,NA,NA,NA,NA
Podiceps auritus,NA,NA,NA,NA,NA
Buteo jamaicensis,NA,NA,NA,NA,NA
Larus delawarensis,NA,NA,NA,NA,NA
Oxyura jamaicensis,NA,NA,NA,NA,NA
Passerculus sandwichensis,grassland,insects,ground,ground_forager,lc
Bubo scandiacus,NA,NA,NA,NA,NA
Chroicocephalus philadelphia,NA,NA,NA,NA,NA
Bucephala clangula,NA,NA,NA,NA,NA
Mergus merganser,NA,NA,NA,NA,NA
Lophodytes cucullatus,NA,NA,NA,NA,NA
Podilymbus podiceps,NA,NA,NA,NA,NA
Fulica americana,NA,NA,NA,NA,NA
Falco sparverius,NA,NA,NA,NA,NA
Anthus rubescens,NA,NA,NA,NA,NA
Anas americana,NA,NA,NA,NA,NA
Megaceryle alcyon,NA,NA,NA,NA,NA
Chroicocephalus ridibundus,NA,NA,NA,NA,NA
Molothrus ater,NA,NA,NA,NA,NA
Bucephala albeola,NA,NA,NA,NA,NA
Anas discors,NA,NA,NA,NA,NA
Hydroprogne caspia,NA,NA,NA,NA,NA
Accipiter cooperii,NA,NA,NA,NA,NA
Phalacrocorax auritus,NA,NA,NA,NA,NA
Sturnella magna,grassland,insects,ground,ground_forager,lc
Sayornis phoebe,NA,NA,NA,NA,NA
Sturnus vulgaris,NA,NA,NA,NA,NA
Larus marinus,NA,NA,NA,NA,NA
Anas crecca,NA,NA,NA,NA,NA
Ardea alba,NA,NA,NA,NA,NA
Tringa melanoleuca,NA,NA,NA,NA,NA
Haemorhous mexicanus,NA,NA,NA,NA,NA
Passer domesticus,NA,NA,NA,NA,NA
Charadrius vociferus,NA,NA,NA,NA,NA
Larus fuscus,NA,NA,NA,NA,NA
Aythya affinis,NA,NA,NA,NA,NA
Hydrocoloeus minutus,NA,NA,NA,NA,NA
Anas platyrhynchos,NA,NA,NA,NA,NA
Cygnus olor,NA,NA,NA,NA,NA
